County1,CountyPop,Confirmed,Cases per 100K,Deaths
""countyFips"":""001"",""countyPopulation"":65435",""confirmed"":1249","1908.764422709559",""deaths"":10"
""countyFips"":""003"",""countyPopulation"":5761",""confirmed"":90","1562.228779725742",""deaths"":1"
""countyFips"":""005"",""countyPopulation"":16426",""confirmed"":361","2197.7352976987704",""deaths"":8"
""countyFips"":""007"",""countyPopulation"":53544",""confirmed"":1213","2265.4265650679813",""deaths"":23"
""countyFips"":""009"",""countyPopulation"":6578",""confirmed"":71","1079.355427181514",""deaths"":0"
""countyFips"":""011"",""countyPopulation"":32628",""confirmed"":722","2212.8233419149196",""deaths"":13"
""countyFips"":""013"",""countyPopulation"":4739",""confirmed"":66","1392.698881620595",""deaths"":0"
""countyFips"":""015"",""countyPopulation"":14305",""confirmed"":243","1698.7067458930442",""deaths"":6"
""countyFips"":""017"",""countyPopulation"":12147",""confirmed"":414","3408.2489503581132",""deaths"":11"
""countyFips"":""019"",""countyPopulation"":209689",""confirmed"":5041","2404.036453986618",""deaths"":23"
""countyFips"":""021"",""countyPopulation"":32304",""confirmed"":626","1937.8405151064885",""deaths"":15"
""countyFips"":""023"",""countyPopulation"":15441",""confirmed"":190","1230.4902532219417",""deaths"":3"
""countyFips"":""025"",""countyPopulation"":13184",""confirmed"":191","1448.7257281553398",""deaths"":0"
""countyFips"":""027"",""countyPopulation"":37562",""confirmed"":1297","3452.9577764762257",""deaths"":21"
""countyFips"":""029"",""countyPopulation"":50621",""confirmed"":1556","3073.8231168882476",""deaths"":32"
""countyFips"":""031"",""countyPopulation"":5150233",""confirmed"":148381","2881.0541192990686",""deaths"":5256"
""countyFips"":""033"",""countyPopulation"":18667",""confirmed"":481","2576.7397010767663",""deaths"":6"
""countyFips"":""035"",""countyPopulation"":10766",""confirmed"":221","2052.7586847482817",""deaths"":5"
""countyFips"":""037"",""countyPopulation"":104897",""confirmed"":1728","1647.330238233696",""deaths"":40"
""countyFips"":""039"",""countyPopulation"":15638",""confirmed"":141","901.6498273436501",""deaths"":2"
""countyFips"":""041"",""countyPopulation"":19465",""confirmed"":345","1772.41202157719",""deaths"":7"
""countyFips"":""043"",""countyPopulation"":922921",""confirmed"":18209","1972.9749350161064",""deaths"":567"
""countyFips"":""045"",""countyPopulation"":17161",""confirmed"":120","699.2599498863702",""deaths"":8"
""countyFips"":""047"",""countyPopulation"":6395",""confirmed"":72","1125.879593432369",""deaths"":0"
""countyFips"":""049"",""countyPopulation"":34008",""confirmed"":918","2699.3648553281582",""deaths"":3"
""countyFips"":""051"",""countyPopulation"":21336",""confirmed"":463","2170.0412448443944",""deaths"":8"
""countyFips"":""053"",""countyPopulation"":12961",""confirmed"":111","856.4154000462927",""deaths"":5"
""countyFips"":""055"",""countyPopulation"":38469",""confirmed"":578","1502.5085133484106",""deaths"":4"
""countyFips"":""057"",""countyPopulation"":34340",""confirmed"":210","611.5317414094351",""deaths"":0"
