County1,CountyPop,Confirmed,Cases per 100K,Deaths
"""countyFips"":""001""","""countyPopulation"":12369","""confirmed"":69","557.8462284744119","""deaths"":1"
"""countyFips"":""003""","""countyPopulation"":7858","""confirmed"":83","1056.2484092644438","""deaths"":0"
"""countyFips"":""005""","""countyPopulation"":16073","""confirmed"":366","2277.1106825110433","""deaths"":3"
"""countyFips"":""007""","""countyPopulation"":4427","""confirmed"":11","248.4752654167608","""deaths"":0"
"""countyFips"":""009""","""countyPopulation"":25779","""confirmed"":536","2079.2117615113075","""deaths"":7"
"""countyFips"":""011""","""countyPopulation"":14534","""confirmed"":194","1334.8011559102795","""deaths"":3"
"""countyFips"":""013""","""countyPopulation"":9564","""confirmed"":145","1516.1020493517356","""deaths"":5"
"""countyFips"":""015""","""countyPopulation"":66911","""confirmed"":1012","1512.4568456606537","""deaths"":3"
"""countyFips"":""017""","""countyPopulation"":2648","""confirmed"":83","3134.441087613293","""deaths"":1"
"""countyFips"":""019""","""countyPopulation"":3250","""confirmed"":21","646.1538461538461","""deaths"":0"
"""countyFips"":""021""","""countyPopulation"":19939","""confirmed"":535","2683.183710316465","""deaths"":8"
"""countyFips"":""023""","""countyPopulation"":2657","""confirmed"":72","2709.823108769289","""deaths"":2"
"""countyFips"":""025""","""countyPopulation"":1994","""confirmed"":55","2758.2748244734203","""deaths"":1"
"""countyFips"":""027""","""countyPopulation"":8002","""confirmed"":53","662.334416395901","""deaths"":2"
"""countyFips"":""029""","""countyPopulation"":8786","""confirmed"":74","842.249032551787","""deaths"":1"
"""countyFips"":""031""","""countyPopulation"":8179","""confirmed"":129","1577.2099278640421","""deaths"":9"
"""countyFips"":""033""","""countyPopulation"":1700","""confirmed"":12","705.8823529411765","""deaths"":0"
"""countyFips"":""035""","""countyPopulation"":34908","""confirmed"":389","1114.3577403460524","""deaths"":8"
"""countyFips"":""037""","""countyPopulation"":38818","""confirmed"":1128","2905.8684115616466","""deaths"":8"
"""countyFips"":""039""","""countyPopulation"":2827","""confirmed"":27","955.076052352317","""deaths"":1"
"""countyFips"":""041""","""countyPopulation"":18466","""confirmed"":222","1202.2094660457058","""deaths"":1"
"""countyFips"":""043""","""countyPopulation"":7600","""confirmed"":118","1552.6315789473686","""deaths"":0"
"""countyFips"":""045""","""countyPopulation"":122259","""confirmed"":2411","1972.0429579826432","""deaths"":13"
"""countyFips"":""047""","""countyPopulation"":2798","""confirmed"":52","1858.470335954253","""deaths"":0"
"""countyFips"":""049""","""countyPopulation"":2530","""confirmed"":7","276.6798418972332","""deaths"":0"
"""countyFips"":""051""","""countyPopulation"":28553","""confirmed"":1088","3810.4577452456833","""deaths"":6"
"""countyFips"":""053""","""countyPopulation"":6102","""confirmed"":62","1016.0603080957063","""deaths"":0"
"""countyFips"":""055""","""countyPopulation"":36467","""confirmed"":2265","6211.094962568898","""deaths"":12"
"""countyFips"":""057""","""countyPopulation"":33619","""confirmed"":2942","8751.003896606086","""deaths"":10"
"""countyFips"":""059""","""countyPopulation"":25544","""confirmed"":406","1589.4143438772314","""deaths"":3"
"""countyFips"":""061""","""countyPopulation"":31670","""confirmed"":440","1389.3274392169246","""deaths"":3"
"""countyFips"":""063""","""countyPopulation"":2636","""confirmed"":39","1479.514415781487","""deaths"":0"
"""countyFips"":""065""","""countyPopulation"":2482","""confirmed"":40","1611.6035455278002","""deaths"":1"
"""countyFips"":""067""","""countyPopulation"":7150","""confirmed"":281","3930.0699300699303","""deaths"":5"
"""countyFips"":""069""","""countyPopulation"":5988","""confirmed"":129","2154.308617234469","""deaths"":0"
"""countyFips"":""071""","""countyPopulation"":1232","""confirmed"":13","1055.1948051948052","""deaths"":0"
"""countyFips"":""073""","""countyPopulation"":5982","""confirmed"":50","835.8408559010364","""deaths"":0"
"""countyFips"":""075""","""countyPopulation"":2539","""confirmed"":47","1851.1224891689642","""deaths"":0"
"""countyFips"":""077""","""countyPopulation"":5436","""confirmed"":120","2207.5055187637968","""deaths"":2"
"""countyFips"":""079""","""countyPopulation"":34429","""confirmed"":371","1077.5799471375876","""deaths"":8"
"""countyFips"":""081""","""countyPopulation"":3968","""confirmed"":128","3225.8064516129034","""deaths"":1"
"""countyFips"":""083""","""countyPopulation"":1794","""confirmed"":25","1393.5340022296543","""deaths"":0"
"""countyFips"":""085""","""countyPopulation"":13171","""confirmed"":253","1920.8867967504366","""deaths"":2"
"""countyFips"":""087""","""countyPopulation"":19043","""confirmed"":202","1060.757233629155","""deaths"":4"
"""countyFips"":""089""","""countyPopulation"":2879","""confirmed"":17","590.4828065300452","""deaths"":1"
"""countyFips"":""091""","""countyPopulation"":602401","""confirmed"":11800","1958.8280895948049","""deaths"":158"
"""countyFips"":""093""","""countyPopulation"":3838","""confirmed"":102","2657.6341844710787","""deaths"":1"
"""countyFips"":""095""","""countyPopulation"":7152","""confirmed"":102","1426.1744966442952","""deaths"":1"
"""countyFips"":""097""","""countyPopulation"":2475","""confirmed"":27","1090.9090909090908","""deaths"":0"
"""countyFips"":""099""","""countyPopulation"":19618","""confirmed"":253","1289.631970639209","""deaths"":4"
"""countyFips"":""101""","""countyPopulation"":1535","""confirmed"":16","1042.3452768729642","""deaths"":0"
"""countyFips"":""103""","""countyPopulation"":81758","""confirmed"":2293","2804.6185082805355","""deaths"":13"
"""countyFips"":""105""","""countyPopulation"":2962","""confirmed"":14","472.6536124240378","""deaths"":0"
"""countyFips"":""107""","""countyPopulation"":9703","""confirmed"":87","896.629908275791","""deaths"":0"
"""countyFips"":""109""","""countyPopulation"":2794","""confirmed"":35","1252.6843235504653","""deaths"":0"
"""countyFips"":""111""","""countyPopulation"":33195","""confirmed"":1092","3289.652056032535","""deaths"":35"
"""countyFips"":""113""","""countyPopulation"":28542","""confirmed"":273","956.4851797351272","""deaths"":1"
"""countyFips"":""115""","""countyPopulation"":11884","""confirmed"":103","866.7115449343655","""deaths"":1"
"""countyFips"":""117""","""countyPopulation"":9707","""confirmed"":36","370.8663850829298","""deaths"":0"
"""countyFips"":""119""","""countyPopulation"":4033","""confirmed"":140","3471.3612695264073","""deaths"":1"
"""countyFips"":""121""","""countyPopulation"":34237","""confirmed"":418","1220.9013640213805","""deaths"":1"
"""countyFips"":""123""","""countyPopulation"":5979","""confirmed"":46","769.3594246529519","""deaths"":0"
"""countyFips"":""125""","""countyPopulation"":31829","""confirmed"":457","1435.797543121053","""deaths"":6"
"""countyFips"":""127""","""countyPopulation"":5620","""confirmed"":43","765.1245551601423","""deaths"":0"
"""countyFips"":""129""","""countyPopulation"":2587","""confirmed"":21","811.7510630073444","""deaths"":2"
"""countyFips"":""131""","""countyPopulation"":10231","""confirmed"":136","1329.2933242107322","""deaths"":1"
"""countyFips"":""133""","""countyPopulation"":16007","""confirmed"":173","1080.7771599925034","""deaths"":0"
"""countyFips"":""135""","""countyPopulation"":2750","""confirmed"":101","3672.7272727272725","""deaths"":7"
"""countyFips"":""137""","""countyPopulation"":5361","""confirmed"":40","746.1294534601753","""deaths"":0"
"""countyFips"":""139""","""countyPopulation"":15949","""confirmed"":115","721.0483415888144","""deaths"":0"
"""countyFips"":""141""","""countyPopulation"":3421","""confirmed"":12","350.7746273019585","""deaths"":0"
"""countyFips"":""143""","""countyPopulation"":5704","""confirmed"":59","1034.3618513323984","""deaths"":0"
"""countyFips"":""145""","""countyPopulation"":6414","""confirmed"":393","6127.221702525725","""deaths"":1"
"""countyFips"":""147""","""countyPopulation"":5234","""confirmed"":131","2502.8658769583494","""deaths"":8"
"""countyFips"":""149""","""countyPopulation"":24383","""confirmed"":288","1181.150801788131","""deaths"":0"
"""countyFips"":""151""","""countyPopulation"":9164","""confirmed"":77","840.244434744653","""deaths"":0"
"""countyFips"":""153""","""countyPopulation"":2530","""confirmed"":54","2134.387351778656","""deaths"":0"
"""countyFips"":""155""","""countyPopulation"":61998","""confirmed"":1200","1935.5463079454178","""deaths"":4"
"""countyFips"":""157""","""countyPopulation"":4636","""confirmed"":49","1056.9456427955133","""deaths"":1"
"""countyFips"":""159""","""countyPopulation"":9537","""confirmed"":86","901.7510747614555","""deaths"":1"
"""countyFips"":""161""","""countyPopulation"":74232","""confirmed"":1857","2501.6165535079213","""deaths"":8"
"""countyFips"":""163""","""countyPopulation"":4920","""confirmed"":115","2337.39837398374","""deaths"":4"
"""countyFips"":""165""","""countyPopulation"":3036","""confirmed"":73","2404.4795783926215","""deaths"":0"
"""countyFips"":""167""","""countyPopulation"":6856","""confirmed"":108","1575.262543757293","""deaths"":1"
"""countyFips"":""169""","""countyPopulation"":54224","""confirmed"":781","1440.3216287990556","""deaths"":11"
"""countyFips"":""171""","""countyPopulation"":4823","""confirmed"":107","2218.5361808003317","""deaths"":1"
"""countyFips"":""173""","""countyPopulation"":516042","""confirmed"":9276","1797.5281081772414","""deaths"":93"
"""countyFips"":""175""","""countyPopulation"":21428","""confirmed"":1731","8078.215419077842","""deaths"":7"
"""countyFips"":""177""","""countyPopulation"":176875","""confirmed"":2864","1619.2226148409893","""deaths"":34"
"""countyFips"":""179""","""countyPopulation"":2521","""confirmed"":32","1269.3375644585483","""deaths"":0"
"""countyFips"":""181""","""countyPopulation"":5917","""confirmed"":44","743.620077742099","""deaths"":0"
"""countyFips"":""183""","""countyPopulation"":3583","""confirmed"":10","279.0957298353335","""deaths"":0"
"""countyFips"":""185""","""countyPopulation"":4156","""confirmed"":60","1443.6958614051973","""deaths"":1"
"""countyFips"":""187""","""countyPopulation"":2006","""confirmed"":71","3539.3818544366895","""deaths"":2"
"""countyFips"":""189""","""countyPopulation"":5485","""confirmed"":150","2734.7310847766635","""deaths"":1"
"""countyFips"":""191""","""countyPopulation"":22836","""confirmed"":213","932.7377824487651","""deaths"":3"
"""countyFips"":""193""","""countyPopulation"":7777","""confirmed"":161","2070.20702070207","""deaths"":0"
"""countyFips"":""195""","""countyPopulation"":2803","""confirmed"":40","1427.0424545130218","""deaths"":1"
"""countyFips"":""197""","""countyPopulation"":6931","""confirmed"":72","1038.8111383638725","""deaths"":1"
"""countyFips"":""199""","""countyPopulation"":1518","""confirmed"":19","1251.6469038208168","""deaths"":0"
"""countyFips"":""201""","""countyPopulation"":5406","""confirmed"":22","406.9552349241584","""deaths"":0"
"""countyFips"":""203""","""countyPopulation"":2119","""confirmed"":5","235.96035865974517","""deaths"":0"
"""countyFips"":""205""","""countyPopulation"":8525","""confirmed"":65","762.4633431085043","""deaths"":2"
"""countyFips"":""207""","""countyPopulation"":3138","""confirmed"":24","764.8183556405354","""deaths"":0"
"""countyFips"":""209""","""countyPopulation"":165429","""confirmed"":7271","4395.239045149278","""deaths"":134"
