State1,County1,Cases per 100K,Deaths
"Pennsylvania","Adams",838.7616616023843,"26"
"Pennsylvania","Allegheny",1030.1427989918136,"363"
"Pennsylvania","Armstrong",704.4102880976288,"18"
"Pennsylvania","Beaver",1191.3694343282764,"127"
"Pennsylvania","Bedford",528.3160708319413,"6"
"Pennsylvania","Berks",1723.319182076341,"397"
"Pennsylvania","Blair",608.2295676727216,"19"
"Pennsylvania","Bradford",303.3668749896391,"5"
"Pennsylvania","Bucks",1429.9584573511388,"615"
"Pennsylvania","Butler",586.0965755138326,"25"
"Pennsylvania","Cambria",490.8135676539265,"7"
"Pennsylvania","Cameron",179.89655947829996,"0"
"Pennsylvania","Carbon",736.9667508024057,"28"
"Pennsylvania","Centre",1757.551497983188,"11"
"Pennsylvania","Chester",1332.9803100636395,"367"
"Pennsylvania","Clarion",338.2069826733961,"3"
"Pennsylvania","Clearfield",427.7332660399975,"6"
"Pennsylvania","Clinton",541.002277904328,"6"
"Pennsylvania","Columbia",1436.1800381749892,"35"
"Pennsylvania","Crawford",379.3026031265878,"3"
"Pennsylvania","Cumberland",767.652050361132,"77"
"Pennsylvania","Dauphin",1400.2924911695695,"182"
"Pennsylvania","Delaware",2050.4740210358414,"758"
"Pennsylvania","Elk",254.0956201939151,"2"
"Pennsylvania","Erie",594.3024083521177,"39"
"Pennsylvania","Fayette",635.8587186905332,"7"
"Pennsylvania","Forest",206.98219953084032,"0"
"Pennsylvania","Franklin",1165.6034110187256,"51"
"Pennsylvania","Fulton",357.8802477632484,"2"
"Pennsylvania","Greene",527.1437639720697,"1"
"Pennsylvania","Huntingdon",954.722665248981,"6"
"Pennsylvania","Indiana",896.8396512554566,"12"
"Pennsylvania","Jefferson",269.4300518134715,"3"
"Pennsylvania","Juniata",787.4651698097969,"7"
"Pennsylvania","Lackawanna",1266.728349723857,"216"
"Pennsylvania","Lancaster",1484.633257837295,"459"
"Pennsylvania","Lawrence",640.8457292543736,"22"
"Pennsylvania","Lebanon",1489.4952501181301,"60"
"Pennsylvania","Lehigh",1551.779225491311,"354"
"Pennsylvania","Luzerne",1309.6336995182992,"190"
"Pennsylvania","Lycoming",639.0171140080672,"26"
"Pennsylvania","McKean",147.69230769230768,"2"
"Pennsylvania","Mercer",691.8043573621874,"20"
"Pennsylvania","Mifflin",502.8393081624691,"2"
"Pennsylvania","Monroe",1066.5351116749182,"134"
"Pennsylvania","Montgomery",1491.9696960579602,"883"
"Pennsylvania","Montour",1097.0927043335162,"5"
"Pennsylvania","Northampton",1491.7208510080745,"305"
"Pennsylvania","Northumberland",1208.6787094217498,"69"
"Pennsylvania","Perry",516.5110650069156,"6"
"Pennsylvania","Philadelphia",2057.3663690355943,"1836"
"Pennsylvania","Pike",1055.385332114892,"22"
"Pennsylvania","Potter",181.53213118722016,"0"
"Pennsylvania","Schuylkill",865.8804886848379,"55"
"Pennsylvania","Snyder",906.5689091449519,"8"
"Pennsylvania","Somerset",314.5125056162948,"3"
"Pennsylvania","Sullivan",214.30926475436863,"0"
"Pennsylvania","Susquehanna",743.9000198373338,"28"
"Pennsylvania","Tioga",204.47882535537434,"3"
"Pennsylvania","Union",1090.7552923891992,"6"
"Pennsylvania","Venango",187.4950659193179,"1"
"Pennsylvania","Warren",112.27067438952821,"1"
"Pennsylvania","Washington",678.2200952311895,"30"
"Pennsylvania","Wayne",492.59165514690136,"11"
"Pennsylvania","Westmoreland",674.4072066701252,"56"
"Pennsylvania","Wyoming",294.84212883481376,"8"
"Pennsylvania","York",1115.2234232549026,"164"
