County1,CountyPop,Confirmed,Cases per 100K,Deaths
"""countyFips"":""001""","""countyPopulation"":57735","""confirmed"":2821","4886.117606304668","""deaths"":36"
"""countyFips"":""003""","""countyPopulation"":18705","""confirmed"":457","2443.197006148089","""deaths"":10"
"""countyFips"":""005""","""countyPopulation"":86715","""confirmed"":2189","2524.3614138269045","""deaths"":83"
"""countyFips"":""007""","""countyPopulation"":23510","""confirmed"":335","1424.9255635899617","""deaths"":18"
"""countyFips"":""009""","""countyPopulation"":8553","""confirmed"":88","1028.8787559920497","""deaths"":1"
"""countyFips"":""011""","""countyPopulation"":1887","""confirmed"":13","688.924218335983","""deaths"":1"
"""countyFips"":""013""","""countyPopulation"":51153","""confirmed"":1166","2279.4362012003203","""deaths"":32"
"""countyFips"":""015""","""countyPopulation"":30032","""confirmed"":502","1671.550346297283","""deaths"":9"
"""countyFips"":""017""","""countyPopulation"":7000","""confirmed"":228","3257.142857142857","""deaths"":5"
"""countyFips"":""019""","""countyPopulation"":23112","""confirmed"":160","692.2810661128418","""deaths"":8"
"""countyFips"":""021""","""countyPopulation"":88723","""confirmed"":1865","2102.0479469810534","""deaths"":30"
"""countyFips"":""023""","""countyPopulation"":3509","""confirmed"":20","569.9629524080934","""deaths"":1"
"""countyFips"":""025""","""countyPopulation"":32565","""confirmed"":1838","5644.096422539536","""deaths"":36"
"""countyFips"":""027""","""countyPopulation"":362924","""confirmed"":5623","1549.3601966251888","""deaths"":89"
"""countyFips"":""029""","""countyPopulation"":2003554","""confirmed"":58678","2928.6957077273682","""deaths"":1332"
"""countyFips"":""031""","""countyPopulation"":11931","""confirmed"":145","1215.321431564831","""deaths"":5"
"""countyFips"":""033""","""countyPopulation"":654","""confirmed"":1","152.90519877675843","""deaths"":0"
"""countyFips"":""035""","""countyPopulation"":18685","""confirmed"":351","1878.5121755418786","""deaths"":6"
"""countyFips"":""037""","""countyPopulation"":93245","""confirmed"":1439","1543.2462866641642","""deaths"":55"
"""countyFips"":""039""","""countyPopulation"":374264","""confirmed"":11575","3092.7366778530663","""deaths"":171"
"""countyFips"":""041""","""countyPopulation"":229211","""confirmed"":6622","2889.0411018668387","""deaths"":64"
"""countyFips"":""043""","""countyPopulation"":9203","""confirmed"":220","2390.5248288601542","""deaths"":4"
"""countyFips"":""045""","""countyPopulation"":1546","""confirmed"":15","970.2457956015525","""deaths"":1"
"""countyFips"":""047""","""countyPopulation"":7093","""confirmed"":325","4581.98223600733","""deaths"":22"
"""countyFips"":""049""","""countyPopulation"":37864","""confirmed"":592","1563.4903866469472","""deaths"":25"
"""countyFips"":""051""","""countyPopulation"":18443","""confirmed"":354","1919.4274250393103","""deaths"":6"
"""countyFips"":""053""","""countyPopulation"":48155","""confirmed"":771","1601.079846329561","""deaths"":12"
"""countyFips"":""055""","""countyPopulation"":43664","""confirmed"":1629","3730.7621839501653","""deaths"":35"
"""countyFips"":""057""","""countyPopulation"":21290","""confirmed"":831","3903.240958196336","""deaths"":8"
"""countyFips"":""059""","""countyPopulation"":13943","""confirmed"":98","702.8616510076741","""deaths"":3"
"""countyFips"":""061""","""countyPopulation"":423163","""confirmed"":22946","5422.49676838476","""deaths"":929"
"""countyFips"":""063""","""countyPopulation"":13094","""confirmed"":363","2772.2621047808157","""deaths"":11"
"""countyFips"":""065""","""countyPopulation"":5926","""confirmed"":31","523.1184610192372","""deaths"":0"
"""countyFips"":""067""","""countyPopulation"":30026","""confirmed"":387","1288.8829680943181","""deaths"":16"
"""countyFips"":""069""","""countyPopulation"":7530","""confirmed"":263","3492.69588313413","""deaths"":5"
"""countyFips"":""071""","""countyPopulation"":43837","""confirmed"":1377","3141.1821064397654","""deaths"":8"
"""countyFips"":""073""","""countyPopulation"":52646","""confirmed"":1571","2984.082361432967","""deaths"":30"
"""countyFips"":""075""","""countyPopulation"":7306","""confirmed"":75","1026.5535176567205","""deaths"":0"
"""countyFips"":""077""","""countyPopulation"":10471","""confirmed"":81","773.5650845191482","""deaths"":2"
"""countyFips"":""079""","""countyPopulation"":2853","""confirmed"":59","2067.9985979670523","""deaths"":1"
"""countyFips"":""081""","""countyPopulation"":3387","""confirmed"":53","1564.8066135222912","""deaths"":3"
"""countyFips"":""083""","""countyPopulation"":8175","""confirmed"":80","978.5932721712538","""deaths"":4"
"""countyFips"":""085""","""countyPopulation"":1034730","""confirmed"":15568","1504.547079914567","""deaths"":152"
"""countyFips"":""087""","""countyPopulation"":2920","""confirmed"":19","650.6849315068494","""deaths"":0"
"""countyFips"":""089""","""countyPopulation"":21493","""confirmed"":490","2279.812031824315","""deaths"":4"
"""countyFips"":""091""","""countyPopulation"":156209","""confirmed"":2757","1764.9431210749701","""deaths"":103"
"""countyFips"":""093""","""countyPopulation"":13635","""confirmed"":310","2273.5606894022735","""deaths"":4"
"""countyFips"":""095""","""countyPopulation"":2726","""confirmed"":136","4988.994864269993","""deaths"":2"
"""countyFips"":""097""","""countyPopulation"":41257","""confirmed"":461","1117.3861405337277","""deaths"":7"
"""countyFips"":""099""","""countyPopulation"":75951","""confirmed"":1839","2421.2979420942447","""deaths"":12"
"""countyFips"":""101""","""countyPopulation"":1398","""confirmed"":30","2145.922746781116","""deaths"":3"
"""countyFips"":""103""","""countyPopulation"":4797","""confirmed"":72","1500.93808630394","""deaths"":2"
"""countyFips"":""105""","""countyPopulation"":3464","""confirmed"":164","4734.411085450347","""deaths"":7"
"""countyFips"":""107""","""countyPopulation"":5737","""confirmed"":89","1551.3334495380861","""deaths"":3"
"""countyFips"":""109""","""countyPopulation"":2171","""confirmed"":55","2533.394748963611","""deaths"":2"
"""countyFips"":""111""","""countyPopulation"":7287","""confirmed"":261","3581.720872787155","""deaths"":9"
"""countyFips"":""113""","""countyPopulation"":2635516","""confirmed"":83178","3156.042308223513","""deaths"":1148"
"""countyFips"":""115""","""countyPopulation"":12728","""confirmed"":503","3951.917033312382","""deaths"":10"
"""countyFips"":""117""","""countyPopulation"":18546","""confirmed"":906","4885.15043675186","""deaths"":22"
"""countyFips"":""119""","""countyPopulation"":5331","""confirmed"":29","543.987994747702","""deaths"":0"
"""countyFips"":""121""","""countyPopulation"":887207","""confirmed"":12425","1400.46234982366","""deaths"":157"
"""countyFips"":""123""","""countyPopulation"":20160","""confirmed"":996","4940.476190476191","""deaths"":41"
"""countyFips"":""125""","""countyPopulation"":2211","""confirmed"":50","2261.420171867933","""deaths"":2"
"""countyFips"":""127""","""countyPopulation"":10124","""confirmed"":258","2548.3998419596996","""deaths"":7"
"""countyFips"":""129""","""countyPopulation"":3278","""confirmed"":66","2013.4228187919466","""deaths"":1"
"""countyFips"":""131""","""countyPopulation"":11157","""confirmed"":453","4060.231244958322","""deaths"":17"
"""countyFips"":""133""","""countyPopulation"":18360","""confirmed"":191","1040.3050108932462","""deaths"":4"
"""countyFips"":""135""","""countyPopulation"":166223","""confirmed"":3192","1920.3118701984681","""deaths"":87"
"""countyFips"":""137""","""countyPopulation"":1932","""confirmed"":67","3467.9089026915112","""deaths"":2"
"""countyFips"":""139""","""countyPopulation"":184826","""confirmed"":4482","2424.983497992707","""deaths"":68"
"""countyFips"":""141""","""countyPopulation"":839238","""confirmed"":25569","3046.6923566378073","""deaths"":534"
"""countyFips"":""143""","""countyPopulation"":42698","""confirmed"":892","2089.090823926179","""deaths"":13"
"""countyFips"":""145""","""countyPopulation"":17297","""confirmed"":306","1769.0929062843265","""deaths"":5"
"""countyFips"":""147""","""countyPopulation"":35514","""confirmed"":701","1973.8694599312946","""deaths"":15"
"""countyFips"":""149""","""countyPopulation"":25346","""confirmed"":495","1952.9708829795627","""deaths"":21"
"""countyFips"":""151""","""countyPopulation"":3830","""confirmed"":68","1775.456919060052","""deaths"":3"
"""countyFips"":""153""","""countyPopulation"":5712","""confirmed"":112","1960.7843137254904","""deaths"":9"
"""countyFips"":""155""","""countyPopulation"":1155","""confirmed"":18","1558.4415584415585","""deaths"":0"
"""countyFips"":""157""","""countyPopulation"":811688","""confirmed"":16603","2045.490385468308","""deaths"":293"
"""countyFips"":""159""","""countyPopulation"":10725","""confirmed"":136","1268.0652680652681","""deaths"":6"
"""countyFips"":""161""","""countyPopulation"":19717","""confirmed"":420","2130.1415022569354","""deaths"":3"
"""countyFips"":""163""","""countyPopulation"":20306","""confirmed"":984","4845.858366985128","""deaths"":9"
"""countyFips"":""165""","""countyPopulation"":21492","""confirmed"":379","1763.4468639493766","""deaths"":9"
"""countyFips"":""167""","""countyPopulation"":342139","""confirmed"":11788","3445.3833091229003","""deaths"":164"
"""countyFips"":""169""","""countyPopulation"":6229","""confirmed"":105","1685.6638304703806","""deaths"":4"
"""countyFips"":""171""","""countyPopulation"":26988","""confirmed"":321","1189.4175188972877","""deaths"":10"
"""countyFips"":""173""","""countyPopulation"":1409","""confirmed"":9","638.7508871540099","""deaths"":0"
"""countyFips"":""175""","""countyPopulation"":7658","""confirmed"":156","2037.0854008879605","""deaths"":6"
"""countyFips"":""177""","""countyPopulation"":20837","""confirmed"":1063","5101.5021356241305","""deaths"":18"
"""countyFips"":""179""","""countyPopulation"":21886","""confirmed"":332","1516.9514758292974","""deaths"":7"
"""countyFips"":""181""","""countyPopulation"":136212","""confirmed"":1964","1441.8700261357296","""deaths"":47"
"""countyFips"":""183""","""countyPopulation"":123945","""confirmed"":2291","1848.4005002218728","""deaths"":74"
"""countyFips"":""185""","""countyPopulation"":28880","""confirmed"":1092","3781.163434903047","""deaths"":33"
"""countyFips"":""187""","""countyPopulation"":166847","""confirmed"":3643","2183.437520602708","""deaths"":78"
"""countyFips"":""189""","""countyPopulation"":33406","""confirmed"":1940","5807.33999880261","""deaths"":56"
"""countyFips"":""191""","""countyPopulation"":2964","""confirmed"":35","1180.8367071524967","""deaths"":1"
"""countyFips"":""193""","""countyPopulation"":8461","""confirmed"":154","1820.1158255525352","""deaths"":4"
"""countyFips"":""195""","""countyPopulation"":5399","""confirmed"":145","2685.682533802556","""deaths"":5"
"""countyFips"":""197""","""countyPopulation"":3933","""confirmed"":25","635.6470887363337","""deaths"":0"
"""countyFips"":""199""","""countyPopulation"":57602","""confirmed"":1358","2357.557029269817","""deaths"":32"
"""countyFips"":""201""","""countyPopulation"":4713325","""confirmed"":147298","3125.1398959333383","""deaths"":2626"
"""countyFips"":""203""","""countyPopulation"":66553","""confirmed"":922","1385.3620422820911","""deaths"":32"
"""countyFips"":""205""","""countyPopulation"":5576","""confirmed"":141","2528.694404591105","""deaths"":0"
"""countyFips"":""207""","""countyPopulation"":5658","""confirmed"":71","1254.8603746907036","""deaths"":3"
"""countyFips"":""209""","""countyPopulation"":230191","""confirmed"":5951","2585.2444274537233","""deaths"":66"
"""countyFips"":""211""","""countyPopulation"":3819","""confirmed"":83","2173.3438072793924","""deaths"":0"
"""countyFips"":""213""","""countyPopulation"":82737","""confirmed"":1006","1215.9009874663088","""deaths"":23"
"""countyFips"":""215""","""countyPopulation"":868707","""confirmed"":32406","3730.371690339781","""deaths"":1558"
"""countyFips"":""217""","""countyPopulation"":36649","""confirmed"":710","1937.2970613113591","""deaths"":14"
"""countyFips"":""219""","""countyPopulation"":23021","""confirmed"":373","1620.2597628252465","""deaths"":9"
"""countyFips"":""221""","""countyPopulation"":61643","""confirmed"":1002","1625.4887010690588","""deaths"":29"
"""countyFips"":""223""","""countyPopulation"":37084","""confirmed"":385","1038.1835832164816","""deaths"":13"
"""countyFips"":""225""","""countyPopulation"":22968","""confirmed"":384","1671.8913270637408","""deaths"":11"
"""countyFips"":""227""","""countyPopulation"":36664","""confirmed"":917","2501.0909884355224","""deaths"":16"
"""countyFips"":""229""","""countyPopulation"":4886","""confirmed"":62","1268.9316414244781","""deaths"":3"
"""countyFips"":""231""","""countyPopulation"":98594","""confirmed"":1705","1729.3141570480961","""deaths"":38"
"""countyFips"":""233""","""countyPopulation"":20938","""confirmed"":233","1112.8092463463558","""deaths"":6"
"""countyFips"":""235""","""countyPopulation"":1536","""confirmed"":12","781.25","""deaths"":0"
"""countyFips"":""237""","""countyPopulation"":8935","""confirmed"":140","1566.8718522663683","""deaths"":3"
"""countyFips"":""239""","""countyPopulation"":14760","""confirmed"":614","4159.891598915989","""deaths"":16"
"""countyFips"":""241""","""countyPopulation"":35529","""confirmed"":483","1359.4528413408764","""deaths"":30"
"""countyFips"":""243""","""countyPopulation"":2274","""confirmed"":14","615.6552330694811","""deaths"":0"
"""countyFips"":""245""","""countyPopulation"":251565","""confirmed"":7585","3015.1253155248146","""deaths"":136"
"""countyFips"":""247""","""countyPopulation"":5200","""confirmed"":111","2134.6153846153848","""deaths"":3"
"""countyFips"":""249""","""countyPopulation"":40482","""confirmed"":1523","3762.1659008942243","""deaths"":39"
"""countyFips"":""251""","""countyPopulation"":175817","""confirmed"":3169","1802.4423121768657","""deaths"":53"
"""countyFips"":""253""","""countyPopulation"":20083","""confirmed"":568","2828.2627097545187","""deaths"":0"
"""countyFips"":""255""","""countyPopulation"":15601","""confirmed"":944","6050.89417345042","""deaths"":17"
"""countyFips"":""257""","""countyPopulation"":136154","""confirmed"":3202","2351.7487550861524","""deaths"":49"
"""countyFips"":""259""","""countyPopulation"":47431","""confirmed"":343","723.1557420252577","""deaths"":8"
"""countyFips"":""261""","""countyPopulation"":404","""confirmed"":7","1732.6732673267327","""deaths"":2"
"""countyFips"":""263""","""countyPopulation"":762","""confirmed"":9","1181.1023622047244","""deaths"":0"
"""countyFips"":""265""","""countyPopulation"":52600","""confirmed"":606","1152.0912547528517","""deaths"":11"
"""countyFips"":""267""","""countyPopulation"":4337","""confirmed"":17","391.9760202905234","""deaths"":1"
"""countyFips"":""269""","""countyPopulation"":272","""confirmed"":0","0","""deaths"":0"
"""countyFips"":""271""","""countyPopulation"":3667","""confirmed"":47","1281.7016634851377","""deaths"":1"
"""countyFips"":""273""","""countyPopulation"":30680","""confirmed"":1018","3318.122555410691","""deaths"":46"
"""countyFips"":""275""","""countyPopulation"":3664","""confirmed"":103","2811.1353711790393","""deaths"":8"
"""countyFips"":""277""","""countyPopulation"":49859","""confirmed"":1251","2509.075593172747","""deaths"":38"
"""countyFips"":""279""","""countyPopulation"":12893","""confirmed"":346","2683.6267742185682","""deaths"":23"
"""countyFips"":""281""","""countyPopulation"":21428","""confirmed"":263","1227.366063095016","""deaths"":9"
"""countyFips"":""283""","""countyPopulation"":7520","""confirmed"":349","4640.95744680851","""deaths"":11"
"""countyFips"":""285""","""countyPopulation"":20154","""confirmed"":1010","5011.412126624988","""deaths"":35"
"""countyFips"":""287""","""countyPopulation"":17239","""confirmed"":230","1334.1841174082024","""deaths"":14"
"""countyFips"":""289""","""countyPopulation"":17404","""confirmed"":257","1476.6720294185245","""deaths"":6"
"""countyFips"":""291""","""countyPopulation"":88219","""confirmed"":2240","2539.1355603668144","""deaths"":51"
"""countyFips"":""293""","""countyPopulation"":23437","""confirmed"":589","2513.1202798993045","""deaths"":15"
"""countyFips"":""295""","""countyPopulation"":3233","""confirmed"":36","1113.5168574079803","""deaths"":1"
"""countyFips"":""297""","""countyPopulation"":12207","""confirmed"":374","3063.815843368559","""deaths"":9"
"""countyFips"":""299""","""countyPopulation"":21795","""confirmed"":138","633.1727460426703","""deaths"":2"
"""countyFips"":""301""","""countyPopulation"":169","""confirmed"":0","0","""deaths"":0"
"""countyFips"":""303""","""countyPopulation"":310569","""confirmed"":12580","4050.6296507378393","""deaths"":131"
"""countyFips"":""305""","""countyPopulation"":5951","""confirmed"":110","1848.4288354898335","""deaths"":5"
"""countyFips"":""307""","""countyPopulation"":7984","""confirmed"":168","2104.2084168336673","""deaths"":4"
"""countyFips"":""309""","""countyPopulation"":256623","""confirmed"":8385","3267.4390058568406","""deaths"":110"
"""countyFips"":""311""","""countyPopulation"":743","""confirmed"":24","3230.148048452221","""deaths"":1"
"""countyFips"":""313""","""countyPopulation"":14284","""confirmed"":728","5096.611593391207","""deaths"":6"
"""countyFips"":""315""","""countyPopulation"":9854","""confirmed"":152","1542.520803734524","""deaths"":14"
"""countyFips"":""317""","""countyPopulation"":5771","""confirmed"":78","1351.5855137757756","""deaths"":6"
"""countyFips"":""319""","""countyPopulation"":4274","""confirmed"":79","1848.3855872718764","""deaths"":2"
"""countyFips"":""321""","""countyPopulation"":36643","""confirmed"":1056","2881.8601097071746","""deaths"":48"
"""countyFips"":""323""","""countyPopulation"":58722","""confirmed"":3712","6321.310582064644","""deaths"":127"
"""countyFips"":""325""","""countyPopulation"":51584","""confirmed"":1226","2376.7059553349877","""deaths"":47"
"""countyFips"":""327""","""countyPopulation"":2138","""confirmed"":29","1356.4078578110384","""deaths"":0"
"""countyFips"":""329""","""countyPopulation"":176832","""confirmed"":3943","2229.8000361925447","""deaths"":66"
"""countyFips"":""331""","""countyPopulation"":24823","""confirmed"":511","2058.5747089392903","""deaths"":6"
"""countyFips"":""333""","""countyPopulation"":4873","""confirmed"":61","1251.7956084547507","""deaths"":0"
"""countyFips"":""335""","""countyPopulation"":8545","""confirmed"":98","1146.8695143358689","""deaths"":1"
"""countyFips"":""337""","""countyPopulation"":19818","""confirmed"":190","958.7243919668988","""deaths"":4"
"""countyFips"":""339""","""countyPopulation"":607391","""confirmed"":11032","1816.2929644989802","""deaths"":162"
"""countyFips"":""341""","""countyPopulation"":20940","""confirmed"":1185","5659.025787965616","""deaths"":22"
"""countyFips"":""343""","""countyPopulation"":12388","""confirmed"":191","1541.8146593477559","""deaths"":3"
"""countyFips"":""345""","""countyPopulation"":1200","""confirmed"":10","833.3333333333334","""deaths"":0"
"""countyFips"":""347""","""countyPopulation"":65204","""confirmed"":1643","2519.7840623274647","""deaths"":64"
"""countyFips"":""349""","""countyPopulation"":50113","""confirmed"":1317","2628.060583082234","""deaths"":27"
"""countyFips"":""351""","""countyPopulation"":13595","""confirmed"":182","1338.7274733357854","""deaths"":13"
"""countyFips"":""353""","""countyPopulation"":14714","""confirmed"":273","1855.3758325404378","""deaths"":5"
"""countyFips"":""355""","""countyPopulation"":362294","""confirmed"":16007","4418.234914185717","""deaths"":387"
"""countyFips"":""357""","""countyPopulation"":9836","""confirmed"":144","1464.009760065067","""deaths"":5"
"""countyFips"":""359""","""countyPopulation"":2112","""confirmed"":19","899.6212121212121","""deaths"":1"
"""countyFips"":""361""","""countyPopulation"":83396","""confirmed"":2005","2404.1920475802194","""deaths"":44"
"""countyFips"":""363""","""countyPopulation"":29189","""confirmed"":594","2035.013189900305","""deaths"":16"
"""countyFips"":""365""","""countyPopulation"":23194","""confirmed"":396","1707.3381046822453","""deaths"":26"
"""countyFips"":""367""","""countyPopulation"":142878","""confirmed"":2040","1427.7915424348046","""deaths"":37"
"""countyFips"":""369""","""countyPopulation"":9605","""confirmed"":443","4612.1811556481","""deaths"":8"
"""countyFips"":""371""","""countyPopulation"":15823","""confirmed"":392","2477.406307274221","""deaths"":5"
"""countyFips"":""373""","""countyPopulation"":51353","""confirmed"":873","1699.9980526940976","""deaths"":25"
"""countyFips"":""375""","""countyPopulation"":117415","""confirmed"":6127","5218.242984286505","""deaths"":65"
"""countyFips"":""377""","""countyPopulation"":6704","""confirmed"":97","1446.8973747016705","""deaths"":7"
"""countyFips"":""379""","""countyPopulation"":12514","""confirmed"":72","575.3556017260668","""deaths"":4"
"""countyFips"":""381""","""countyPopulation"":137713","""confirmed"":3193","2318.590111318467","""deaths"":45"
"""countyFips"":""383""","""countyPopulation"":3849","""confirmed"":89","2312.288906209405","""deaths"":6"
"""countyFips"":""385""","""countyPopulation"":3452","""confirmed"":118","3418.308227114716","""deaths"":8"
"""countyFips"":""387""","""countyPopulation"":12023","""confirmed"":167","1389.004408217583","""deaths"":14"
"""countyFips"":""389""","""countyPopulation"":15976","""confirmed"":212","1326.9904857285928","""deaths"":6"
"""countyFips"":""391""","""countyPopulation"":6948","""confirmed"":310","4461.715601611974","""deaths"":14"
"""countyFips"":""393""","""countyPopulation"":854","""confirmed"":12","1405.152224824356","""deaths"":0"
"""countyFips"":""395""","""countyPopulation"":17074","""confirmed"":326","1909.335832259576","""deaths"":3"
"""countyFips"":""397""","""countyPopulation"":104915","""confirmed"":1680","1601.2962874708096","""deaths"":28"
"""countyFips"":""399""","""countyPopulation"":10264","""confirmed"":279","2718.238503507405","""deaths"":8"
"""countyFips"":""401""","""countyPopulation"":54406","""confirmed"":965","1773.7014299893394","""deaths"":12"
"""countyFips"":""403""","""countyPopulation"":10542","""confirmed"":82","777.8410168848416","""deaths"":8"
"""countyFips"":""405""","""countyPopulation"":8237","""confirmed"":207","2513.0508680344788","""deaths"":15"
"""countyFips"":""407""","""countyPopulation"":28859","""confirmed"":227","786.583041685436","""deaths"":9"
"""countyFips"":""409""","""countyPopulation"":66730","""confirmed"":1501","2249.363105050202","""deaths"":77"
"""countyFips"":""411""","""countyPopulation"":6055","""confirmed"":69","1139.5540875309662","""deaths"":0"
"""countyFips"":""413""","""countyPopulation"":2793","""confirmed"":53","1897.6011457214465","""deaths"":2"
"""countyFips"":""415""","""countyPopulation"":16703","""confirmed"":759","4544.093875351733","""deaths"":6"
"""countyFips"":""417""","""countyPopulation"":3265","""confirmed"":28","857.5803981623278","""deaths"":0"
"""countyFips"":""419""","""countyPopulation"":25274","""confirmed"":485","1918.9681095196643","""deaths"":27"
"""countyFips"":""421""","""countyPopulation"":3022","""confirmed"":66","2183.984116479153","""deaths"":1"
"""countyFips"":""423""","""countyPopulation"":232751","""confirmed"":3876","1665.2989675661972","""deaths"":110"
"""countyFips"":""425""","""countyPopulation"":9128","""confirmed"":148","1621.384750219106","""deaths"":5"
"""countyFips"":""427""","""countyPopulation"":64633","""confirmed"":3451","5339.377717265174","""deaths"":171"
"""countyFips"":""429""","""countyPopulation"":9366","""confirmed"":138","1473.414477898783","""deaths"":4"
"""countyFips"":""431""","""countyPopulation"":1291","""confirmed"":5","387.2966692486445","""deaths"":0"
"""countyFips"":""433""","""countyPopulation"":1350","""confirmed"":16","1185.1851851851852","""deaths"":1"
"""countyFips"":""435""","""countyPopulation"":3776","""confirmed"":84","2224.5762711864404","""deaths"":3"
"""countyFips"":""437""","""countyPopulation"":7397","""confirmed"":107","1446.5323779910775","""deaths"":3"
"""countyFips"":""439""","""countyPopulation"":2102515","""confirmed"":47793","2273.1347933308443","""deaths"":734"
