County1,CountyPop,Confirmed,Cases per 100K,Deaths
"""countyFips"":""001""","""countyPopulation"":32316","""confirmed"":1185","3666.9142220571853","""deaths"":19"
"""countyFips"":""003""","""countyPopulation"":109330","""confirmed"":1368","1251.2576602945212","""deaths"":22"
"""countyFips"":""005""","""countyPopulation"":14860","""confirmed"":80","538.3580080753701","""deaths"":4"
"""countyFips"":""007""","""countyPopulation"":13145","""confirmed"":125","950.9319132750094","""deaths"":5"
"""countyFips"":""009""","""countyPopulation"":31605","""confirmed"":427","1351.0520487264673","""deaths"":4"
"""countyFips"":""011""","""countyPopulation"":15911","""confirmed"":224","1407.8310602727672","""deaths"":3"
"""countyFips"":""013""","""countyPopulation"":236842","""confirmed"":4045","1707.8896479509547","""deaths"":151"
"""countyFips"":""015""","""countyPopulation"":75558","""confirmed"":525","694.8304613674263","""deaths"":7"
"""countyFips"":""017""","""countyPopulation"":4147","""confirmed"":15","361.7072582589824","""deaths"":0"
"""countyFips"":""019""","""countyPopulation"":78997","""confirmed"":843","1067.129131486006","""deaths"":14"
"""countyFips"":""021""","""countyPopulation"":6280","""confirmed"":64","1019.1082802547771","""deaths"":5"
"""countyFips"":""023""","""countyPopulation"":33419","""confirmed"":315","942.5775756306293","""deaths"":10"
"""countyFips"":""025""","""countyPopulation"":16231","""confirmed"":369","2273.4273920276014","""deaths"":5"
"""countyFips"":""027""","""countyPopulation"":21004","""confirmed"":175","833.1746334031612","""deaths"":2"
"""countyFips"":""029""","""countyPopulation"":17148","""confirmed"":696","4058.782365290413","""deaths"":9"
"""countyFips"":""031""","""countyPopulation"":54885","""confirmed"":485","883.6658467705203","""deaths"":4"
"""countyFips"":""033""","""countyPopulation"":30725","""confirmed"":370","1204.2310821806345","""deaths"":5"
"""countyFips"":""035""","""countyPopulation"":29791","""confirmed"":511","1715.283139203115","""deaths"":24"
"""countyFips"":""036""","""countyPopulation"":6963","""confirmed"":84","1206.376561826799","""deaths"":5"
"""countyFips"":""037""","""countyPopulation"":11880","""confirmed"":140","1178.4511784511785","""deaths"":0"
"""countyFips"":""041""","""countyPopulation"":352802","""confirmed"":6170","1748.8562990005726","""deaths"":98"
"""countyFips"":""043""","""countyPopulation"":14619","""confirmed"":97","663.5200766126275","""deaths"":1"
"""countyFips"":""045""","""countyPopulation"":5131","""confirmed"":31","604.1707269538101","""deaths"":0"
"""countyFips"":""047""","""countyPopulation"":52605","""confirmed"":1223","2324.8740614010076","""deaths"":17"
"""countyFips"":""049""","""countyPopulation"":9932","""confirmed"":107","1077.3258155457108","""deaths"":2"
"""countyFips"":""051""","""countyPopulation"":14318","""confirmed"":102","712.3899986031569","""deaths"":1"
"""countyFips"":""053""","""countyPopulation"":28544","""confirmed"":417","1460.9024663677128","""deaths"":11"
"""countyFips"":""057""","""countyPopulation"":10953","""confirmed"":183","1670.775130101342","""deaths"":2"
"""countyFips"":""059""","""countyPopulation"":1147532","""confirmed"":21282","1854.5888044952123","""deaths"":590"
"""countyFips"":""061""","""countyPopulation"":71222","""confirmed"":964","1353.5143635393558","""deaths"":25"
"""countyFips"":""063""","""countyPopulation"":15749","""confirmed"":213","1352.4668232903678","""deaths"":12"
"""countyFips"":""065""","""countyPopulation"":27270","""confirmed"":384","1408.140814081408","""deaths"":9"
"""countyFips"":""067""","""countyPopulation"":56042","""confirmed"":422","753.0066735662539","""deaths"":4"
"""countyFips"":""069""","""countyPopulation"":89313","""confirmed"":944","1056.9569939426513","""deaths"":13"
"""countyFips"":""071""","""countyPopulation"":16720","""confirmed"":94","562.2009569377991","""deaths"":0"
"""countyFips"":""073""","""countyPopulation"":37348","""confirmed"":261","698.8326014779908","""deaths"":2"
