Rank,Population Density ▼,County / Population
1.,"3,575.3/sq mi","San Francisco, CA / 829,072"
2.,"3,255.4/sq mi","Orange, CA / 3,086,331"
3.,"2,099.4/sq mi","Los Angeles, CA / 9,974,203"
4.,"1,898.5/sq mi","Alameda, CA / 1,559,308"
5.,"1,459.0/sq mi","Sacramento, CA / 1,450,277"
6.,"1,412.2/sq mi","Santa Clara, CA / 1,841,569"
7.,"1,345.2/sq mi","Contra Costa, CA / 1,081,232"
8.,998.5/sq mi,"San Mateo, CA / 739,837"
9.,703.4/sq mi,"San Diego, CA / 3,183,143"
10.,491.4/sq mi,"San Joaquin, CA / 701,050"
11.,465.3/sq mi,"Solano, CA / 421,624"
12.,440.1/sq mi,"Santa Cruz, CA / 267,203"
13.,378.5/sq mi,"Ventura, CA / 835,790"
14.,345.2/sq mi,"Stanislaus, CA / 522,794"
15.,310.4/sq mi,"Riverside, CA / 2,266,899"
16.,310.1/sq mi,"Marin, CA / 256,802"
17.,278.2/sq mi,"Sonoma, CA / 491,790"
18.,240.6/sq mi,"Placer, CA / 361,518"
19.,199.5/sq mi,"Yolo, CA / 204,162"
20.,176.6/sq mi,"Napa, CA / 139,253"
21.,157.8/sq mi,"Fresno, CA / 948,844"
22.,156.2/sq mi,"Sutter, CA / 95,067"
23.,132.2/sq mi,"Merced, CA / 261,609"
24.,132.1/sq mi,"Butte, CA / 221,578"
25.,113.9/sq mi,"Santa Barbara, CA / 431,555"
26.,113.5/sq mi,"Yuba, CA / 73,059"
27.,112.7/sq mi,"Monterey, CA / 424,927"
28.,108.8/sq mi,"Kings, CA / 151,390"
29.,105.1/sq mi,"Kern, CA / 857,730"
30.,103.4/sq mi,"San Bernardino, CA / 2,078,586"
31.,101.6/sq mi,"El Dorado, CA / 181,465"
32.,101.3/sq mi,"Nevada, CA / 98,606"
33.,93.2/sq mi,"Tulare, CA / 451,108"
34.,75.8/sq mi,"San Luis Obispo, CA / 274,184"
35.,70.8/sq mi,"Madera, CA / 152,452"
36.,61.3/sq mi,"Amador, CA / 37,159"
37.,48.3/sq mi,"Lake, CA / 64,209"
38.,46.4/sq mi,"Shasta, CA / 178,520"
39.,43.3/sq mi,"Calaveras, CA / 44,921"
40.,40.9/sq mi,"San Benito, CA / 56,888"
41.,39.5/sq mi,"Imperial, CA / 177,026"
42.,33.3/sq mi,"Humboldt, CA / 134,876"
43.,23.9/sq mi,"Tuolumne, CA / 54,347"
44.,22.8/sq mi,"Del Norte, CA / 28,066"
45.,22.6/sq mi,"Mendocino, CA / 87,612"
46.,21.4/sq mi,"Tehama, CA / 63,284"
47.,21.1/sq mi,"Glenn, CA / 28,019"
48.,18.5/sq mi,"Colusa, CA / 21,424"
49.,12.3/sq mi,"Mariposa, CA / 17,946"
50.,7.4/sq mi,"Plumas, CA / 19,286"
51.,7.1/sq mi,"Lassen, CA / 33,356"
52.,7.0/sq mi,"Siskiyou, CA / 44,261"
53.,4.5/sq mi,"Mono, CA / 14,193"
54.,4.2/sq mi,"Trinity, CA / 13,515"
55.,3.1/sq mi,"Sierra, CA / 3,019"
56.,2.2/sq mi,"Modoc, CA / 9,335"
57.,1.8/sq mi,"Inyo, CA / 18,439"
58.,1.6/sq mi,"Alpine, CA / 1,202"
