Rank,Population Density ▼,County / Population
1.,"2,608.2/sq mi","Dekalb, GA / 707,185"
2.,"2,057.7/sq mi","Cobb, GA / 708,920"
3.,"1,928.0/sq mi","Gwinnett, GA / 842,091"
4.,"1,830.7/sq mi","Clayton, GA / 264,221"
5.,"1,809.9/sq mi","Fulton, GA / 967,100"
6.,988.8/sq mi,"Clarke, GA / 119,681"
7.,897.0/sq mi,"Muscogee, GA / 198,247"
8.,765.9/sq mi,"Forsyth, GA / 189,314"
9.,671.7/sq mi,"Douglas, GA / 135,037"
10.,653.0/sq mi,"Rockdale, GA / 86,256"
11.,640.2/sq mi,"Henry, GA / 209,069"
12.,612.4/sq mi,"Richmond, GA / 201,244"
13.,607.9/sq mi,"Bibb, GA / 155,237"
14.,541.5/sq mi,"Fayette, GA / 107,930"
15.,510.9/sq mi,"Cherokee, GA / 221,951"
16.,463.1/sq mi,"Paulding, GA / 145,565"
17.,435.4/sq mi,"Chatham, GA / 275,303"
18.,435.0/sq mi,"Barrow, GA / 70,873"
19.,431.7/sq mi,"Hall, GA / 185,318"
20.,430.3/sq mi,"Columbia, GA / 132,362"
21.,399.8/sq mi,"Catoosa, GA / 64,955"
22.,383.3/sq mi,"Houston, GA / 145,622"
23.,363.6/sq mi,"Newton, GA / 101,503"
24.,354.3/sq mi,"Whitfield, GA / 103,132"
25.,320.4/sq mi,"Spalding, GA / 63,946"
26.,294.8/sq mi,"Coweta, GA / 131,419"
27.,280.6/sq mi,"Dougherty, GA / 93,890"
28.,258.7/sq mi,"Walton, GA / 85,378"
29.,222.0/sq mi,"Carroll, GA / 111,872"
30.,220.4/sq mi,"Lowndes, GA / 112,515"
31.,214.4/sq mi,"Bartow, GA / 100,771"
32.,185.4/sq mi,"Floyd, GA / 96,146"
33.,181.2/sq mi,"Oconee, GA / 33,769"
34.,180.7/sq mi,"Peach, GA / 27,337"
35.,177.6/sq mi,"Jackson, GA / 60,928"
36.,171.5/sq mi,"Baldwin, GA / 45,854"
37.,155.5/sq mi,"Gordon, GA / 55,666"
38.,155.3/sq mi,"Habersham, GA / 43,342"
39.,153.3/sq mi,"Troup, GA / 68,375"
