Rank,Population Density ▼,County / Population
1.,"3,197.7/sq mi","Cook, IL / 5,227,827"
2.,"2,754.0/sq mi","Dupage, IL / 926,485"
3.,995.6/sq mi,"Kane, IL / 521,874"
4.,803.2/sq mi,"Will, IL / 682,108"
5.,562.4/sq mi,"Winnebago, IL / 292,026"
6.,513.8/sq mi,"Lake, IL / 703,170"
7.,504.1/sq mi,"Mchenry, IL / 307,888"
8.,398.2/sq mi,"Saint Clair, IL / 268,415"
9.,366.7/sq mi,"Kendall, IL / 118,194"
10.,361.8/sq mi,"Madison, IL / 267,937"
11.,325.7/sq mi,"Rock Island, IL / 146,964"
12.,296.9/sq mi,"Peoria, IL / 187,197"
13.,226.7/sq mi,"Sangamon, IL / 198,808"
14.,206.5/sq mi,"Tazewell, IL / 135,872"
15.,204.5/sq mi,"Champaign, IL / 204,214"
16.,191.5/sq mi,"Boone, IL / 54,005"
17.,187.5/sq mi,"Macon, IL / 109,833"
18.,165.4/sq mi,"Kankakee, IL / 112,682"
19.,165.3/sq mi,"Dekalb, IL / 104,919"
20.,150.3/sq mi,"Williamson, IL / 66,808"
21.,145.3/sq mi,"Mclean, IL / 172,390"
22.,116.6/sq mi,"Grundy, IL / 50,173"
23.,105.2/sq mi,"Coles, IL / 53,655"
24.,99.8/sq mi,"Jackson, IL / 60,125"
25.,98.2/sq mi,"La Salle, IL / 112,698"
26.,92.2/sq mi,"Franklin, IL / 39,774"
27.,89.6/sq mi,"Vermilion, IL / 80,773"
28.,83.8/sq mi,"Monroe, IL / 33,373"
29.,83.3/sq mi,"Stephenson, IL / 47,053"
30.,82.8/sq mi,"Whiteside, IL / 57,680"
31.,77.0/sq mi,"Adams, IL / 67,113"
32.,75.4/sq mi,"Clinton, IL / 37,952"
33.,72.9/sq mi,"Knox, IL / 52,447"
34.,71.8/sq mi,"Woodford, IL / 38,965"
35.,71.4/sq mi,"Effingham, IL / 34,280"
36.,69.2/sq mi,"Ogle, IL / 52,782"
37.,67.6/sq mi,"Marion, IL / 38,922"
38.,66.3/sq mi,"Jefferson, IL / 38,716"
39.,64.3/sq mi,"Saline, IL / 24,876"
40.,62.6/sq mi,"Massac, IL / 15,148"
41.,61.6/sq mi,"Morgan, IL / 35,272"
42.,60.6/sq mi,"Henry, IL / 50,031"
43.,60.3/sq mi,"Jersey, IL / 22,751"
44.,55.4/sq mi,"Randolph, IL / 33,091"
45.,54.9/sq mi,"Mcdonough, IL / 32,388"
46.,54.4/sq mi,"Macoupin, IL / 47,229"
47.,51.6/sq mi,"Wabash, IL / 11,730"
48.,49.3/sq mi,"Perry, IL / 22,034"
49.,48.5/sq mi,"Logan, IL / 30,047"
50.,48.4/sq mi,"Lee, IL / 35,248"
51.,48.1/sq mi,"Christian, IL / 34,415"
52.,47.6/sq mi,"Douglas, IL / 19,867"
53.,45.9/sq mi,"Bond, IL / 17,571"
54.,44.7/sq mi,"Lawrence, IL / 16,726"
55.,44.6/sq mi,"Richland, IL / 16,144"
56.,44.0/sq mi,"Crawford, IL / 19,626"
57.,43.2/sq mi,"Moultrie, IL / 14,896"
58.,41.9/sq mi,"Montgomery, IL / 29,740"
59.,41.7/sq mi,"Union, IL / 17,620"
60.,41.5/sq mi,"Fulton, IL / 36,616"
61.,40.6/sq mi,"Dewitt, IL / 16,461"
62.,40.1/sq mi,"Menard, IL / 12,658"
63.,39.3/sq mi,"Bureau, IL / 34,361"
64.,37.7/sq mi,"Piatt, IL / 16,552"
65.,36.8/sq mi,"Livingston, IL / 38,476"
66.,36.3/sq mi,"Johnson, IL / 12,650"
67.,36.2/sq mi,"Jo Daviess, IL / 22,427"
68.,35.0/sq mi,"Cass, IL / 13,440"
69.,34.2/sq mi,"Putnam, IL / 5,895"
70.,32.7/sq mi,"Warren, IL / 17,784"
71.,32.2/sq mi,"Carroll, IL / 15,027"
72.,32.2/sq mi,"Clark, IL / 16,240"
73.,31.6/sq mi,"Cumberland, IL / 10,950"
74.,31.0/sq mi,"Alexander, IL / 7,821"
75.,30.9/sq mi,"Marshall, IL / 12,319"
76.,30.4/sq mi,"Fayette, IL / 22,041"
77.,30.0/sq mi,"Edwards, IL / 6,687"
78.,29.4/sq mi,"Pulaski, IL / 5,967"
79.,29.1/sq mi,"Clay, IL / 13,675"
80.,29.1/sq mi,"Edgar, IL / 18,171"
81.,29.0/sq mi,"White, IL / 14,549"
82.,28.9/sq mi,"Shelby, IL / 22,216"
83.,28.6/sq mi,"Ford, IL / 13,906"
84.,28.5/sq mi,"Mercer, IL / 16,204"
85.,26.2/sq mi,"Iroquois, IL / 29,272"
86.,25.8/sq mi,"Washington, IL / 14,527"
87.,25.4/sq mi,"Mason, IL / 14,309"
88.,25.0/sq mi,"Greene, IL / 13,677"
89.,23.3/sq mi,"Hardin, IL / 4,226"
90.,23.2/sq mi,"Wayne, IL / 16,627"
91.,23.1/sq mi,"Hancock, IL / 18,808"
92.,22.4/sq mi,"Brown, IL / 6,878"
93.,20.8/sq mi,"Scott, IL / 5,260"
94.,20.4/sq mi,"Stark, IL / 5,888"
95.,19.4/sq mi,"Jasper, IL / 9,658"
96.,19.2/sq mi,"Hamilton, IL / 8,371"
97.,19.1/sq mi,"Pike, IL / 16,244"
98.,17.9/sq mi,"Henderson, IL / 7,074"
99.,17.7/sq mi,"Calhoun, IL / 5,033"
100.,16.9/sq mi,"Schuyler, IL / 7,454"
101.,16.6/sq mi,"Gallatin, IL / 5,439"
102.,11.7/sq mi,"Pope, IL / 4,362"
