Rank,Population Density ▼,County / Population
1.,"1,167.0/sq mi","Johnson, KS / 560,025"
2.,"1,021.0/sq mi","Wyandotte, KS / 159,466"
3.,499.2/sq mi,"Sedgwick, KS / 503,788"
4.,321.4/sq mi,"Shawnee, KS / 178,600"
5.,239.6/sq mi,"Douglas, KS / 113,703"
6.,165.7/sq mi,"Leavenworth, KS / 77,687"
7.,119.7/sq mi,"Riley, KS / 74,478"
8.,90.1/sq mi,"Geary, KS / 36,458"
9.,77.3/sq mi,"Saline, KS / 55,793"
10.,66.0/sq mi,"Crawford, KS / 39,277"
11.,64.4/sq mi,"Harvey, KS / 34,797"
12.,55.5/sq mi,"Miami, KS / 32,765"
13.,53.1/sq mi,"Montgomery, KS / 34,602"
14.,50.5/sq mi,"Reno, KS / 64,223"
15.,45.6/sq mi,"Butler, KS / 65,927"
16.,44.8/sq mi,"Franklin, KS / 25,834"
17.,39.2/sq mi,"Lyon, KS / 33,510"
18.,38.6/sq mi,"Atchison, KS / 16,737"
19.,36.4/sq mi,"Seward, KS / 23,319"
20.,35.8/sq mi,"Cherokee, KS / 21,179"
21.,34.0/sq mi,"Jefferson, KS / 18,932"
22.,32.5/sq mi,"Mcpherson, KS / 29,308"
23.,32.5/sq mi,"Labette, KS / 21,225"
24.,32.1/sq mi,"Ellis, KS / 28,878"
25.,32.0/sq mi,"Cowley, KS / 36,201"
26.,31.5/sq mi,"Ford, KS / 34,604"
27.,30.6/sq mi,"Barton, KS / 27,566"
28.,28.5/sq mi,"Finney, KS / 37,099"
29.,28.5/sq mi,"Neosho, KS / 16,453"
30.,26.1/sq mi,"Allen, KS / 13,212"
31.,25.9/sq mi,"Pottawatomie, KS / 22,338"
32.,23.3/sq mi,"Bourbon, KS / 14,913"
33.,23.1/sq mi,"Dickinson, KS / 19,641"
34.,22.5/sq mi,"Osage, KS / 16,165"
35.,20.5/sq mi,"Jackson, KS / 13,464"
36.,20.1/sq mi,"Sumner, KS / 23,763"
37.,19.8/sq mi,"Doniphan, KS / 7,904"
38.,17.3/sq mi,"Brown, KS / 9,926"
39.,16.0/sq mi,"Wilson, KS / 9,177"
