Rank,Population Density ▼,County / Population
1.,"1,889.7/sq mi","Jefferson, KY / 751,485"
2.,"1,066.3/sq mi","Fayette, KY / 304,473"
3.,985.2/sq mi,"Kenton, KY / 161,915"
4.,572.5/sq mi,"Campbell, KY / 91,268"
5.,479.7/sq mi,"Boone, KY / 123,030"
6.,314.2/sq mi,"Oldham, KY / 61,711"
7.,303.9/sq mi,"Boyd, KY / 49,242"
8.,284.2/sq mi,"Jessamine, KY / 49,601"
9.,253.4/sq mi,"Bullitt, KY / 76,093"
10.,244.4/sq mi,"Mccracken, KY / 65,545"
11.,233.5/sq mi,"Franklin, KY / 49,509"
12.,214.0/sq mi,"Warren, KY / 117,169"
13.,204.9/sq mi,"Daviess, KY / 97,631"
14.,192.9/sq mi,"Madison, KY / 85,485"
15.,172.3/sq mi,"Scott, KY / 49,167"
16.,170.7/sq mi,"Hardin, KY / 107,565"
17.,159.6/sq mi,"Boyle, KY / 29,150"
18.,139.7/sq mi,"Clark, KY / 35,633"
19.,135.7/sq mi,"Montgomery, KY / 26,983"
20.,134.2/sq mi,"Laurel, KY / 59,535"
21.,131.0/sq mi,"Woodford, KY / 25,151"
22.,113.0/sq mi,"Shelby, KY / 43,581"
23.,106.1/sq mi,"Anderson, KY / 21,664"
24.,104.4/sq mi,"Nelson, KY / 44,254"
25.,103.4/sq mi,"Greenup, KY / 36,656"
26.,102.8/sq mi,"Christian, KY / 74,459"
27.,99.5/sq mi,"Henderson, KY / 46,394"
28.,98.8/sq mi,"Floyd, KY / 39,087"
29.,94.6/sq mi,"Grant, KY / 24,667"
30.,93.8/sq mi,"Pulaski, KY / 63,505"
31.,92.5/sq mi,"Calloway, KY / 37,981"
32.,91.8/sq mi,"Marshall, KY / 31,223"
33.,90.9/sq mi,"Spencer, KY / 17,419"
34.,90.5/sq mi,"Taylor, KY / 25,059"
35.,90.0/sq mi,"Meade, KY / 29,203"
36.,88.6/sq mi,"Johnson, KY / 23,390"
37.,85.4/sq mi,"Barren, KY / 42,691"
38.,84.2/sq mi,"Hopkins, KY / 46,684"
39.,84.1/sq mi,"Mercer, KY / 21,311"
40.,82.5/sq mi,"Perry, KY / 28,261"
41.,82.2/sq mi,"Knox, KY / 31,857"
42.,82.0/sq mi,"Rowan, KY / 23,485"
43.,81.7/sq mi,"Gallatin, KY / 8,554"
44.,81.6/sq mi,"Pike, KY / 64,380"
45.,79.9/sq mi,"Whitley, KY / 35,557"
46.,79.2/sq mi,"Carroll, KY / 10,871"
47.,78.2/sq mi,"Bell, KY / 28,234"
48.,74.2/sq mi,"Simpson, KY / 17,551"
49.,72.9/sq mi,"Lincoln, KY / 24,546"
50.,72.2/sq mi,"Garrard, KY / 16,880"
51.,70.7/sq mi,"Letcher, KY / 23,965"
52.,70.6/sq mi,"Mason, KY / 17,398"
53.,69.7/sq mi,"Powell, KY / 12,552"
54.,68.5/sq mi,"Bourbon, KY / 19,972"
55.,67.3/sq mi,"Graves, KY / 37,451"
56.,66.6/sq mi,"Carter, KY / 27,439"
57.,65.5/sq mi,"Muhlenberg, KY / 31,391"
