Rank,Population Density ▼,County / Population
1.,"10,839.8/sq mi","Philadelphia, PA / 1,546,920"
2.,"2,942.1/sq mi","Delaware, PA / 560,775"
3.,"1,661.3/sq mi","Montgomery, PA / 809,372"
4.,"1,651.0/sq mi","Allegheny, PA / 1,229,172"
5.,"1,018.1/sq mi","Lehigh, PA / 354,537"
6.,"1,007.0/sq mi","Bucks, PA / 626,205"
7.,792.9/sq mi,"Northampton, PA / 299,225"
8.,667.0/sq mi,"Chester, PA / 506,422"
9.,535.5/sq mi,"Lancaster, PA / 526,839"
10.,483.6/sq mi,"Dauphin, PA / 269,946"
11.,481.0/sq mi,"York, PA / 438,052"
12.,477.1/sq mi,"Berks, PA / 413,016"
13.,460.4/sq mi,"Lackawanna, PA / 214,023"
14.,435.1/sq mi,"Cumberland, PA / 239,420"
15.,383.1/sq mi,"Beaver, PA / 170,124"
16.,372.9/sq mi,"Lebanon, PA / 135,184"
17.,353.5/sq mi,"Luzerne, PA / 320,392"
18.,350.0/sq mi,"Westmoreland, PA / 362,587"
19.,272.7/sq mi,"Monroe, PA / 168,342"
20.,247.7/sq mi,"Lawrence, PA / 89,859"
21.,241.8/sq mi,"Washington, PA / 208,157"
22.,240.4/sq mi,"Blair, PA / 126,708"
23.,232.8/sq mi,"Butler, PA / 185,034"
24.,203.0/sq mi,"Cambria, PA / 140,835"
25.,197.5/sq mi,"Northumberland, PA / 94,294"
26.,196.1/sq mi,"Franklin, PA / 151,517"
27.,194.7/sq mi,"Adams, PA / 101,566"
28.,188.0/sq mi,"Schuylkill, PA / 147,146"
29.,179.8/sq mi,"Erie, PA / 280,132"
30.,169.6/sq mi,"Fayette, PA / 135,376"
31.,169.6/sq mi,"Mercer, PA / 115,739"
32.,167.5/sq mi,"Carbon, PA / 64,874"
33.,141.5/sq mi,"Union, PA / 44,955"
34.,140.4/sq mi,"Centre, PA / 156,240"
35.,139.6/sq mi,"Montour, PA / 18,475"
36.,136.9/sq mi,"Columbia, PA / 67,089"
37.,120.4/sq mi,"Snyder, PA / 39,922"
38.,112.6/sq mi,"Mifflin, PA / 46,705"
39.,105.8/sq mi,"Indiana, PA / 88,301"
40.,103.0/sq mi,"Armstrong, PA / 68,343"
41.,100.3/sq mi,"Pike, PA / 56,883"
42.,93.8/sq mi,"Lycoming, PA / 116,676"
43.,84.6/sq mi,"Crawford, PA / 87,801"
44.,82.4/sq mi,"Perry, PA / 45,788"
45.,79.5/sq mi,"Venango, PA / 54,265"
46.,71.2/sq mi,"Somerset, PA / 77,011"
47.,70.6/sq mi,"Clearfield, PA / 81,472"
48.,69.7/sq mi,"Wyoming, PA / 28,229"
49.,69.2/sq mi,"Wayne, PA / 51,967"
50.,68.4/sq mi,"Jefferson, PA / 44,935"
51.,66.0/sq mi,"Greene, PA / 38,171"
52.,64.7/sq mi,"Clarion, PA / 39,437"
53.,63.0/sq mi,"Juniata, PA / 24,793"
54.,53.8/sq mi,"Bradford, PA / 62,510"
55.,51.7/sq mi,"Huntingdon, PA / 45,950"
56.,51.3/sq mi,"Susquehanna, PA / 42,708"
57.,48.5/sq mi,"Bedford, PA / 49,332"
58.,45.9/sq mi,"Warren, PA / 41,218"
59.,44.2/sq mi,"Clinton, PA / 39,611"
60.,43.7/sq mi,"Mckean, PA / 43,024"
61.,37.9/sq mi,"Elk, PA / 31,584"
62.,37.3/sq mi,"Tioga, PA / 42,358"
63.,33.7/sq mi,"Fulton, PA / 14,747"
64.,17.8/sq mi,"Forest, PA / 7,649"
65.,16.1/sq mi,"Potter, PA / 17,451"
66.,14.1/sq mi,"Sullivan, PA / 6,400"
67.,12.4/sq mi,"Cameron, PA / 4,939"
