Rank,Population Density ▼,County / Population
1.,"2,695.3/sq mi","Dallas, TX / 2,448,943"
2.,"2,402.1/sq mi","Harris, TX / 4,269,608"
3.,"2,085.2/sq mi","Tarrant, TX / 1,881,469"
4.,"1,424.3/sq mi","Bexar, TX / 1,789,088"
5.,"1,068.2/sq mi","Travis, TX / 1,092,810"
6.,944.5/sq mi,"Collin, TX / 836,947"
7.,811.7/sq mi,"El Paso, TX / 823,862"
8.,743.6/sq mi,"Denton, TX / 708,627"
9.,714.9/sq mi,"Fort Bend, TX / 632,946"
10.,559.7/sq mi,"Rockwall, TX / 83,239"
11.,509.5/sq mi,"Hidalgo, TX / 806,447"
12.,452.3/sq mi,"Montgomery, TX / 487,028"
13.,445.1/sq mi,"Gregg, TX / 122,736"
14.,403.0/sq mi,"Williamson, TX / 457,218"
15.,345.9/sq mi,"Galveston, TX / 302,276"
16.,340.9/sq mi,"Brazos, TX / 201,534"
17.,325.2/sq mi,"Cameron, TX / 415,103"
18.,318.4/sq mi,"Lubbock, TX / 286,747"
19.,298.7/sq mi,"Nueces, TX / 348,130"
20.,295.6/sq mi,"Bell, TX / 321,591"
21.,250.6/sq mi,"Hays, TX / 170,410"
22.,226.9/sq mi,"Jefferson, TX / 252,466"
23.,226.1/sq mi,"Smith, TX / 214,735"
24.,226.1/sq mi,"Mclennan, TX / 239,717"
25.,218.0/sq mi,"Orange, TX / 82,737"
26.,209.5/sq mi,"Johnson, TX / 153,854"
27.,208.2/sq mi,"Wichita, TX / 131,802"
28.,202.3/sq mi,"Brazoria, TX / 325,477"
29.,201.4/sq mi,"Comal, TX / 115,808"
30.,195.4/sq mi,"Guadalupe, TX / 139,709"
31.,162.3/sq mi,"Midland, TX / 146,387"
32.,162.3/sq mi,"Ellis, TX / 154,447"
33.,160.7/sq mi,"Ector, TX / 144,932"
34.,145.3/sq mi,"Taylor, TX / 133,560"
35.,135.4/sq mi,"Randall, TX / 124,862"
36.,132.6/sq mi,"Kaufman, TX / 107,119"
37.,132.4/sq mi,"Potter, TX / 122,053"
38.,131.6/sq mi,"Parker, TX / 119,784"
39.,124.6/sq mi,"Grayson, TX / 121,975"
40.,119.8/sq mi,"Hood, TX / 52,347"
41.,101.1/sq mi,"Angelina, TX / 87,433"
42.,100.8/sq mi,"Bowie, TX / 93,068"
43.,100.1/sq mi,"Victoria, TX / 88,955"
44.,98.9/sq mi,"Hunt, TX / 87,256"
45.,92.5/sq mi,"San Patricio, TX / 65,509"
46.,86.6/sq mi,"Waller, TX / 44,825"
47.,85.9/sq mi,"Walker, TX / 68,882"
48.,84.5/sq mi,"Bastrop, TX / 75,708"
49.,83.1/sq mi,"Henderson, TX / 78,836"
50.,76.9/sq mi,"Webb, TX / 259,471"
51.,76.4/sq mi,"Titus, TX / 32,540"
52.,73.7/sq mi,"Tom Green, TX / 113,516"
53.,73.1/sq mi,"Harrison, TX / 66,971"
54.,72.2/sq mi,"Coryell, TX / 76,276"
55.,71.0/sq mi,"Caldwell, TX / 38,870"
56.,67.2/sq mi,"Upshur, TX / 39,851"
57.,66.6/sq mi,"Nacogdoches, TX / 65,322"
58.,65.5/sq mi,"Wise, TX / 60,413"
59.,65.2/sq mi,"Liberty, TX / 76,707"
60.,61.5/sq mi,"Hardin, TX / 55,215"
61.,61.3/sq mi,"Camp, TX / 12,463"
62.,61.2/sq mi,"Van Zandt, TX / 52,605"
63.,61.0/sq mi,"Wood, TX / 42,431"
64.,57.7/sq mi,"Rusk, TX / 54,159"
65.,55.2/sq mi,"Wilson, TX / 44,609"
66.,54.7/sq mi,"Washington, TX / 34,039"
67.,54.4/sq mi,"Kendall, TX / 36,058"
68.,53.9/sq mi,"Anderson, TX / 58,084"
69.,53.3/sq mi,"Lamar, TX / 49,704"
