Rank,Population Density ▼,County / Population
1.,"9,466.6/sq mi","Alexandria City, VA / 146,422"
2.,"8,445.9/sq mi","Arlington, VA / 220,173"
3.,"6,541.0/sq mi","Falls Church City, VA / 13,074"
4.,"5,914.6/sq mi","Manassas Park City, VA / 14,992"
5.,"4,338.2/sq mi","Charlottesville City, VA / 44,505"
6.,"4,068.8/sq mi","Manassas City, VA / 40,436"
7.,"3,745.6/sq mi","Fairfax City, VA / 23,507"
8.,"3,379.1/sq mi","Richmond City, VA / 211,063"
9.,"2,921.1/sq mi","Winchester City, VA / 27,031"
10.,"2,908.1/sq mi","Harrisonburg City, VA / 50,821"
11.,"2,819.3/sq mi","Lexington City, VA / 7,114"
12.,"2,749.7/sq mi","Fairfax, VA / 1,117,072"
13.,"2,540.1/sq mi","Norfolk City, VA / 244,745"
14.,"2,533.8/sq mi","Fredericksburg City, VA / 26,632"
15.,"2,283.0/sq mi","Roanoke City, VA / 97,949"
16.,"2,245.5/sq mi","Colonial Heights City, VA / 17,542"
17.,"2,071.3/sq mi","Hopewell City, VA / 22,375"
18.,"2,054.4/sq mi","Portsmouth City, VA / 96,007"
19.,"1,727.8/sq mi","Salem, VA / 25,120"
20.,"1,664.9/sq mi","Radford, VA / 16,993"
21.,"1,568.2/sq mi","Williamsburg City, VA / 14,401"
22.,"1,563.6/sq mi","Lynchburg City, VA / 77,626"
23.,"1,518.0/sq mi","Newport News City, VA / 181,362"
24.,"1,399.6/sq mi","Petersburg City, VA / 32,439"
25.,"1,393.2/sq mi","Waynesboro City, VA / 21,177"
26.,"1,337.7/sq mi","Bristol, VA / 17,595"
27.,"1,285.7/sq mi","Henrico, VA / 314,878"
28.,"1,248.7/sq mi","Martinsville City, VA / 13,745"
29.,"1,230.4/sq mi","Prince William, VA / 428,772"
30.,"1,204.5/sq mi","Staunton City, VA / 24,132"
31.,"1,032.3/sq mi","Covington City, VA / 5,853"
32.,"1,022.2/sq mi","Franklin City, VA / 8,534"
33.,"1,004.4/sq mi","Hampton City, VA / 136,904"
34.,984.2/sq mi,"Buena Vista City, VA / 6,683"
35.,971.7/sq mi,"Danville City, VA / 42,704"
36.,896.0/sq mi,"Virginia Beach City, VA / 445,623"
37.,843.2/sq mi,"Galax City, VA / 6,981"
38.,742.3/sq mi,"Chesterfield, VA / 324,337"
39.,650.3/sq mi,"Loudoun, VA / 338,916"
40.,650.3/sq mi,"Chesapeake City, VA / 228,168"
41.,534.2/sq mi,"Norton City, VA / 4,015"
42.,481.1/sq mi,"Stafford, VA / 134,672"
43.,389.6/sq mi,"James City, VA / 69,832"
44.,370.9/sq mi,"Roanoke, VA / 93,194"
45.,306.1/sq mi,"York, VA / 65,808"
46.,304.6/sq mi,"Spotsylvania, VA / 126,200"
47.,246.1/sq mi,"Montgomery, VA / 95,808"
48.,212.5/sq mi,"Hanover, VA / 100,689"
49.,199.2/sq mi,"Suffolk City, VA / 85,477"
50.,193.4/sq mi,"Frederick, VA / 80,377"
51.,176.0/sq mi,"Warren, VA / 38,142"
52.,154.3/sq mi,"Poquoson City, VA / 12,103"
53.,140.3/sq mi,"Albemarle, VA / 101,883"
54.,137.8/sq mi,"Henry, VA / 52,960"
55.,130.9/sq mi,"King George, VA / 24,577"
56.,130.5/sq mi,"Prince George, VA / 36,792"
57.,128.3/sq mi,"Gloucester, VA / 36,938"
58.,125.2/sq mi,"Culpeper, VA / 47,910"
59.,119.6/sq mi,"Greene, VA / 18,766"
60.,108.1/sq mi,"Campbell, VA / 54,833"
61.,107.5/sq mi,"Powhatan, VA / 28,193"
62.,105.1/sq mi,"Pulaski, VA / 34,630"
63.,102.5/sq mi,"Fauquier, VA / 66,726"
64.,100.9/sq mi,"Wise, VA / 40,872"
65.,99.7/sq mi,"Orange, VA / 34,239"
66.,98.3/sq mi,"Bedford, VA / 75,607"
67.,97.9/sq mi,"Isle Of Wight, VA / 35,518"
68.,96.9/sq mi,"Washington, VA / 54,833"
69.,90.6/sq mi,"Rockingham, VA / 77,345"
70.,89.4/sq mi,"Fluvanna, VA / 25,945"
71.,85.9/sq mi,"New Kent, VA / 19,187"
72.,85.3/sq mi,"Tazewell, VA / 44,331"
73.,83.1/sq mi,"Shenandoah, VA / 42,545"
74.,80.0/sq mi,"Clarke, VA / 14,273"
75.,79.2/sq mi,"Franklin, VA / 56,360"
76.,76.1/sq mi,"Page, VA / 23,905"
77.,75.9/sq mi,"Augusta, VA / 73,707"
78.,74.6/sq mi,"Goochland, VA / 21,627"
79.,70.5/sq mi,"Smyth, VA / 31,876"
80.,69.3/sq mi,"Westmoreland, VA / 17,518"
81.,67.3/sq mi,"Amherst, VA / 32,237"
82.,66.0/sq mi,"Louisa, VA / 33,743"
83.,65.4/sq mi,"Prince Edward, VA / 23,140"
84.,64.4/sq mi,"Pittsylvania, VA / 62,955"
85.,63.0/sq mi,"Wythe, VA / 29,259"
86.,62.6/sq mi,"Carroll, VA / 29,881"
87.,60.6/sq mi,"Botetourt, VA / 33,105"
88.,59.7/sq mi,"Russell, VA / 28,444"
89.,58.0/sq mi,"Lee, VA / 25,380"
90.,56.2/sq mi,"King William, VA / 16,045"
91.,55.2/sq mi,"Dinwiddie, VA / 27,993"
92.,54.1/sq mi,"Caroline, VA / 29,057"
93.,51.3/sq mi,"Middlesex, VA / 10,817"
94.,49.9/sq mi,"Nottoway, VA / 15,756"
95.,48.5/sq mi,"Lancaster, VA / 11,224"
96.,47.2/sq mi,"Giles, VA / 17,025"
97.,47.0/sq mi,"Buchanan, VA / 23,683"
98.,47.0/sq mi,"Mecklenburg, VA / 31,913"
99.,46.8/sq mi,"Dickenson, VA / 15,612"
100.,45.2/sq mi,"Appomattox, VA / 15,137"
101.,43.1/sq mi,"Northumberland, VA / 12,320"
102.,43.0/sq mi,"Halifax, VA / 35,704"
103.,42.3/sq mi,"Scott, VA / 22,781"
104.,41.9/sq mi,"Richmond, VA / 9,072"
105.,41.0/sq mi,"Madison, VA / 13,208"
106.,40.5/sq mi,"Floyd, VA / 15,452"
107.,40.1/sq mi,"Greensville, VA / 11,911"
108.,39.0/sq mi,"Essex, VA / 11,166"
109.,37.8/sq mi,"Patrick, VA / 18,365"
110.,37.2/sq mi,"Rockbridge, VA / 22,367"
111.,36.0/sq mi,"Alleghany, VA / 16,133"
112.,35.6/sq mi,"Amelia, VA / 12,764"
113.,35.4/sq mi,"Mathews, VA / 8,923"
114.,35.0/sq mi,"Charles City, VA / 7,154"
115.,34.2/sq mi,"Grayson, VA / 15,255"
