,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,Median Household Income (2018),% of State Median HH Income
13000,Georgia,10.2,9.2,8.2,7.1,6.0,5.4,4.7,3.9,3.4,"58,634",100.0%
13001,"Appling County, GA",12.4,11.2,10.7,8.8,7.3,6.4,5.5,4.3,3.9,"42,781",73.0%
13003,"Atkinson County, GA",12.8,11.5,9.4,7.5,5.8,5.2,4.4,3.5,3.0,"36,779",62.7%
13005,"Bacon County, GA",10.5,9.7,8.4,6.9,5.8,5.2,4.4,3.8,3.5,"38,775",66.1%
13007,"Baker County, GA",11.6,11.0,10.5,9.0,7.3,7.7,6.2,5.3,4.7,"38,288",65.3%
13009,"Baldwin County, GA",13.8,11.6,10.1,8.7,7.7,6.8,5.8,4.9,4.2,"42,727",72.9%
13011,"Banks County, GA",9.2,8.2,7.9,6.6,5.6,4.9,3.9,3.1,2.7,"55,384",94.5%
13013,"Barrow County, GA",9.9,8.6,7.4,6.3,5.3,4.7,4.0,3.3,2.8,"61,413",104.7%
13015,"Bartow County, GA",11.5,9.9,8.7,7.1,5.9,5.1,4.6,3.8,3.3,"57,409",97.9%
13017,"Ben Hill County, GA",15.6,13.9,12.5,9.9,9.1,8.2,7.7,5.9,5.5,"35,020",59.7%
13019,"Berrien County, GA",12.5,10.2,9.5,8.5,7.2,6.1,5.1,4.2,4.0,"39,412",67.2%
13021,"Bibb County, GA",11.5,10.5,9.3,8.0,6.7,5.9,5.3,4.5,3.9,"41,390",70.6%
13023,"Bleckley County, GA",13.3,12.6,14.0,11.2,8.6,7.9,6.7,5.8,5.0,"46,019",78.5%
13025,"Brantley County, GA",13.2,12.0,10.6,9.2,7.5,6.7,5.7,4.5,4.1,"41,874",71.4%
13027,"Brooks County, GA",10.0,9.2,8.3,7.2,6.1,5.2,4.5,3.9,3.4,"36,354",62.0%
13029,"Bryan County, GA",9.4,8.3,7.4,6.4,5.3,4.9,4.2,3.4,3.0,"79,658",135.9%
13031,"Bulloch County, GA",10.5,9.8,8.7,7.3,6.1,5.7,5.0,4.3,3.7,"43,766",74.6%
13033,"Burke County, GA",12.7,12.4,12.0,10.0,8.2,7.7,7.1,6.1,5.1,"42,785",73.0%
13035,"Butts County, GA",11.4,10.3,9.3,7.5,6.7,5.6,4.8,4.1,3.4,"48,831",83.3%
13037,"Calhoun County, GA",8.4,7.8,8.1,6.9,6.2,5.6,5.2,4.2,3.6,"33,393",57.0%
13039,"Camden County, GA",9.6,8.6,7.8,6.6,5.6,5.8,5.0,4.2,3.6,"56,555",96.5%
13043,"Candler County, GA",9.6,8.7,8.2,6.9,5.7,4.8,4.1,3.4,3.0,"35,841",61.1%
13045,"Carroll County, GA",11.4,10.3,9.6,8.2,6.7,6.0,5.0,4.0,3.4,"52,502",89.5%
13047,"Catoosa County, GA",8.2,7.5,6.7,6.1,5.2,4.8,4.1,3.4,3.0,"55,807",95.2%
13049,"Charlton County, GA",10.6,9.3,8.4,7.3,6.4,5.6,5.0,4.3,3.8,"40,499",69.1%
13051,"Chatham County, GA",10.0,9.2,8.3,7.3,5.9,5.2,4.5,3.7,3.3,"54,165",92.4%
13053,"Chattahoochee County, GA",11.6,11.7,11.0,9.7,8.8,8.3,6.8,5.5,4.6,"46,869",79.9%
13055,"Chattooga County, GA",11.0,10.2,9.0,7.6,6.2,6.3,4.7,4.1,5.0,"39,513",67.4%
13057,"Cherokee County, GA",8.2,7.1,6.1,5.5,4.7,4.3,3.7,3.1,2.7,"82,733",141.1%
13059,"Clarke County, GA",9.3,8.7,7.8,6.9,6.1,5.5,4.7,4.0,3.6,"42,112",71.8%
13061,"Clay County, GA",12.3,12.5,11.4,11.3,11.8,10.4,9.0,7.5,6.9,"30,239",51.6%
13063,"Clayton County, GA",13.4,12.0,10.8,9.3,7.7,6.6,5.8,4.9,4.2,"46,059",78.6%
13065,"Clinch County, GA",11.0,9.7,9.2,8.3,7.1,6.1,5.5,4.5,3.9,"37,593",64.1%
13067,"Cobb County, GA",8.8,7.7,6.7,5.9,5.1,4.6,4.1,3.4,3.0,"78,603",134.1%
13069,"Coffee County, GA",12.9,11.4,9.9,8.1,6.8,5.8,5.1,4.5,3.9,"39,480",67.3%
13071,"Colquitt County, GA",9.5,8.8,8.8,8.1,6.4,5.3,4.5,3.7,3.2,"38,633",65.9%
13073,"Columbia County, GA",7.3,7.0,6.5,5.8,5.0,4.6,4.1,3.5,3.0,"82,184",140.2%
13075,"Cook County, GA",11.3,9.5,8.5,8.1,6.7,5.4,4.5,3.8,3.4,"38,827",66.2%
13077,"Coweta County, GA",9.1,8.0,7.0,6.1,5.3,5.0,4.2,3.4,2.9,"70,974",121.0%
13079,"Crawford County, GA",10.8,9.8,8.8,7.5,6.3,5.9,4.9,4.1,3.6,"48,004",81.9%
13081,"Crisp County, GA",13.9,12.5,11.2,8.8,6.9,6.0,5.2,4.8,3.9,"36,096",61.6%
13083,"Dade County, GA",8.0,7.6,7.1,6.3,5.5,5.0,4.3,3.6,3.3,"48,779",83.2%
13085,"Dawson County, GA",10.1,8.6,7.4,6.1,5.1,4.7,3.8,3.3,2.8,"68,835",117.4%
13087,"Decatur County, GA",12.0,10.1,9.5,8.1,6.8,6.6,5.5,4.7,3.8,"38,441",65.6%
13089,"DeKalb County, GA",10.5,9.4,8.4,7.2,6.1,5.4,4.8,4.0,3.4,"63,477",108.3%
13091,"Dodge County, GA",12.3,11.5,11.4,9.7,8.4,7.3,6.2,5.2,5.4,"35,636",60.8%
13093,"Dooly County, GA",13.1,11.5,11.5,9.6,7.6,5.8,5.0,4.7,3.8,"37,278",63.6%
13095,"Dougherty County, GA",12.2,11.3,10.3,9.2,7.8,6.8,6.0,5.4,4.7,"38,806",66.2%
13097,"Douglas County, GA",10.9,9.6,8.6,7.4,6.4,5.6,4.9,4.1,3.5,"60,512",103.2%
13099,"Early County, GA",11.5,10.2,9.1,8.9,7.0,6.9,5.4,4.6,3.9,"34,984",59.7%
13101,"Echols County, GA",8.1,7.4,6.3,5.8,4.7,4.3,3.9,3.2,2.8,"38,667",65.9%
13103,"Effingham County, GA",9.3,8.4,7.2,6.2,5.1,4.8,4.0,3.3,2.9,"65,793",112.2%
13105,"Elbert County, GA",16.1,12.6,10.8,8.6,7.5,6.5,5.2,4.8,4.0,"39,681",67.7%
13107,"Emanuel County, GA",13.3,12.4,12.5,10.4,8.8,7.7,6.6,5.9,5.3,"37,574",64.1%
13109,"Evans County, GA",9.1,8.6,7.6,6.4,5.6,4.9,4.3,3.7,3.4,"37,319",63.6%
13111,"Fannin County, GA",11.3,10.2,9.0,7.6,6.2,5.3,4.8,4.0,3.3,"43,439",74.1%
13113,"Fayette County, GA",8.0,7.6,6.7,6.1,5.2,4.7,4.0,3.5,3.0,"95,021",162.1%
13115,"Floyd County, GA",12.1,10.9,9.5,7.9,6.7,6.0,5.2,4.3,3.8,"44,906",76.6%
13117,"Forsyth County, GA",7.4,6.6,5.9,5.2,4.6,4.2,3.7,3.2,2.7,"105,921",180.6%
13119,"Franklin County, GA",12.2,11.3,9.8,8.1,6.3,5.2,4.7,3.8,3.5,"42,904",73.2%
13121,"Fulton County, GA",10.2,9.1,8.1,7.0,6.0,5.4,4.8,4.0,3.5,"70,808",120.8%
13123,"Gilmer County, GA",11.8,10.6,9.0,7.2,6.1,5.7,5.0,4.2,3.5,"47,757",81.4%
13125,"Glascock County, GA",10.6,9.7,9.5,8.0,6.7,6.0,4.9,4.1,3.7,"42,820",73.0%
