County,Clinton%,Clinton,Trump%,Trump,Other,Others,Total
Appling,20.47,"1,434",78.43,"5,494",1.10,77,"7,005
"
Atkinson,26.70,697,71.95,"1,878",1.34,35,"2,610
"
Bacon,15.13,608,83.70,"3,364",1.17,47,"4,019
"
Baker,45.14,650,53.82,775,1.04,15,"1,440
"
Baldwin,49.55,"7,970",47.85,"7,697",2.60,419,"16,086
"
Banks,9.84,684,88.26,"6,134",1.90,132,"6,950
"
Barrow,22.82,"6,580",73.21,"21,108",3.96,"1,143","28,831
"
Bartow,20.89,"8,212",76.10,"29,911",3.01,"1,183","39,306
"
Ben Hill,35.42,"2,101",63.04,"3,739",1.53,91,"5,931
"
Berrien,15.90,"1,047",82.35,"5,422",1.75,115,"6,584
"
Bibb,59.07,"36,787",38.61,"24,043",2.32,"1,447","62,277
"
Bleckley,22.27,"1,101",75.24,"3,719",2.49,123,"4,943
"
Brantley,9.84,619,88.48,"5,567",1.68,106,"6,292
"
Brooks,40.01,"2,528",58.58,"3,701",1.41,89,"6,318
"
Bryan,26.61,"4,014",69.80,"10,529",3.59,542,"15,085
"
Bulloch,36.68,"9,261",59.79,"15,097",3.53,890,"25,248
"
Burke,50.59,"4,731",48.03,"4,491",1.38,129,"9,351
"
Butts,27.08,"2,566",70.88,"6,717",2.05,194,"9,477
"
Calhoun,58.22,"1,179",40.99,830,0.79,16,"2,025
"
Camden,31.43,"5,930",65.24,"12,310",3.33,629,"18,869
"
Candler,27.27,"1,026",70.79,"2,664",1.94,73,"3,763
"
Carroll,28.43,"12,464",68.50,"30,029",3.07,"1,346","43,839
"
Catoosa,17.98,"4,771",78.69,"20,876",3.32,881,"26,528
"
Charlton,25.04,"1,004",73.61,"2,951",1.35,54,"4,009
"
Chatham,55.87,"62,290",40.98,"45,688",3.14,"3,503","111,481
"
Chattahoochee,42.73,594,54.03,751,3.24,45,"1,390
"
Chattooga,19.55,"1,613",78.31,"6,462",2.14,177,"8,252
"
Cherokee,22.75,"25,231",72.73,"80,649",4.52,"5,015","110,895
"
Clarke,66.77,"29,603",28.68,"12,717",4.55,"2,019","44,339
"
Clay,54.84,697,44.53,566,0.63,8,"1,271
"
Clayton,84.55,"78,220",13.67,"12,645",1.78,"1,647","92,512
"
Clinch,28.03,686,70.58,"1,727",1.39,34,"2,447
"
Cobb,48.89,"160,121",46.69,"152,912",4.42,"14,466","327,499
"
Coffee,29.42,"4,094",68.90,"9,588",1.67,233,"13,915
"
