County,1,2,3,4,5,6,7,8,9

"Adams","7,676","24.08","22,790","71.48","1,481","4.64","−15,114","−47.40","31,947"
"Alexander","1,262","44.75","1,496","53.05","62","2.20","−234","−8.30","2,820"
"Bond","2,068","27.68","4,888","65.43","554","7.38","−2,820","−37.75","7,510"
"Boone","8,986","39.65","12,282","54.19","1,461","6.43","−3,296","−14.54","22,729"
"Brown","476","20.18","1,796","76.13","87","3.69","−1,320","−55.95","2,359"
"Bureau","6,029","36.86","9,281","56.75","1,079","6.58","−3,252","−19.89","16,389"
"Calhoun","739","28.89","1,721","67.28","101","3.94","−982","−38.39","2,561"
"Carroll","2,447","33.18","4,434","60.13","512","6.93","−1,987","−26.95","7,393"
"Cass","1,621","32.04","3,216","63.56","238","4.69","−1,595","−31.52","5,075"
"Champaign","50,137","55.77","33,368","37.12","7,061","7.80","16,769","18.65","90,566"
"Christian","3,992","26.01","10,543","68.70","829","5.40","−6,551","−42.69","15,364"
"Clark","1,877","23.99","5,622","71.85","342","4.36","−3,745","−47.86","7,841"
"Clay","1,020","16.20","5,021","79.72","272","4.31","−4,001","−63.52","6,313"
"Clinton","3,945","22.81","12,412","71.77","970","5.60","−8,467","−48.96","17,327"
"Coles","7,309","33.80","13,003","60.13","1,367","6.31","−5,694","−26.33","21,679"
"Cook","1,611,946","74.75","453,287","21.02","93,343","4.32","1,158,659","53.73","2,158,576"
"Crawford","1,992","23.00","6,277","72.47","402","4.64","−4,285","−49.47","8,671"
"Cumberland","1,031","18.67","4,206","76.17","289","5.23","−3,175","−57.50","5,526"
"DeKalb","20,466","47.82","19,091","44.61","3,445","8.01","1,375","3.21","43,002"
"DeWitt","1,910","25.53","5,077","67.87","505","6.74","−3,167","−42.34","7,492"
"Douglas","1,949","24.05","5,698","70.32","478","5.88","−3,749","−46.27","8,125"
"DuPage","228,622","54.20","166,415","39.45","28,610","6.75","62,207","14.75","423,647"
"Edgar","1,793","22.94","5,645","72.21","402","5.13","−3,852","−49.27","7,840"
"Edwards","434","13.09","2,778","83.80","112","3.37","−2,344","−70.71","3,324"
"Effingham","3,083","17.65","13,635","78.08","795","4.54","−10,552","−60.43","17,513"
"Fayette","1,819","19.08","7,372","77.31","358","3.75","−5,553","−58.23","9,549"
"Ford","1,414","22.43","4,480","71.07","444","7.01","−3,066","−48.64","6,338"
"Franklin","4,727","25.46","13,116","70.64","724","3.90","−8,389","−45.18","18,567"
"Fulton","6,133","39.20","8,492","54.28","1,026","6.56","−2,359","−15.08","15,651"
"Gallatin","657","24.38","1,942","72.06","100","3.71","−1,285","−47.68","2,699"
"Greene","1,205","21.70","4,145","74.64","209","3.76","−2,940","−52.94","5,559"
"Grundy","8,065","35.09","13,454","58.54","1,503","6.53","−5,389","−23.45","23,022"
"Hamilton","802","19.34","3,206","77.33","148","3.56","−2,404","−57.99","4,156"
"Hancock","2,139","23.82","6,430","71.60","480","5.30","−4,291","−47.78","9,049"
"Hardin","420","19.65","1,653","77.35","64","2.99","−1,233","−57.70","2,137"
"Henderson","1,155","33.12","2,155","61.80","179","5.13","−1,000","−28.68","3,489"
"Henry","8,871","36.51","13,985","57.55","1,508","6.19","−5,114","−21.04","24,364"
"Iroquois","2,504","19.32","9,750","75.24","742","5.71","−7,246","−55.92","12,996"
"Jackson","11,634","48.06","10,843","44.79","1,791","7.38","791","3.27","24,268"
"Jasper","924","18.10","3,975","77.85","213","4.17","−3,051","−59.75","5,112"
"Jefferson","4,425","26.26","11,695","69.40","756","4.48","−7,270","−43.14","16,876"
"Jersey","2,679","24.51","7,748","70.88","511","4.67","−5,069","−46.37","10,938"
"Jo Daviess","4,462","39.84","6,121","54.66","642","5.72","−1,659","−14.82","11,225"
"Johnson","1,142","18.94","4,649","77.09","251","4.15","−3,507","−58.15","6,042"
"Kane","103,665","52.20","82,734","41.66","12,912","6.48","20,931","10.54","199,311"
"Kankakee","18,971","40.64","25,129","53.83","2,681","5.73","−6,158","−13.19","46,781"
"Kendall","24,884","46.71","24,961","46.86","3,602","6.74","−77","−0.15","53,447"
"Knox","10,083","45.40","10,737","48.35","1,423","6.40","−654","−2.95","22,243"
"Lake","171,095","57.41","109,767","36.83","18,148","6.07","61,328","20.58","299,010"
"LaSalle","19,543","39.73","26,689","54.26","3,012","6.12","−7,146","−14.53","49,244"
"Lawrence","1,290","21.34","4,521","74.78","247","4.08","−3,231","−53.44","6,058"
"Lee","5,528","36.22","8,612","56.42","1,162","7.59","−3,084","−20.20","15,302"
"Livingston","4,023","26.58","10,208","67.43","974","6.41","−6,185","−40.85","15,205"
"Logan","3,313","27.24","8,181","67.26","761","6.21","−4,868","−40.02","12,255"
"Macon","18,343","38.60","26,866","56.54","2,398","5.04","−8,523","−17.94","47,607"
"Macoupin","6,689","30.14","14,322","64.54","1,212","5.45","−7,633","−34.40","22,223"
"Madison","50,587","39.40","70,490","54.90","7,680","5.96","−19,903","−15.50","128,757"
"Marion","4,369","25.79","11,859","70.00","736","4.34","−7,490","−44.21","16,964"
"Marshall","1,789","30.23","3,785","63.96","365","6.15","−1,996","−33.73","5,939"
"Mason","2,014","31.24","4,058","62.94","382","5.92","−2,044","−31.70","6,454"
"Massac","1,558","23.46","4,846","72.98","250","3.76","−3,288","−49.52","6,654"
"McDonough","5,288","40.90","6,795","52.55","897","6.91","−1,507","−11.65","12,980"
"McHenry","60,803","42.89","71,612","50.52","9,868","6.94","−10,809","−7.63","142,283"
"McLean","36,196","45.53","37,237","46.84","6,402","8.02","−1,041","−1.31","79,835"
"Menard","1,817","28.22","4,231","65.71","416","6.44","−2,414","−37.49","6,464"
"Mercer","3,071","36.41","4,807","56.99","569","6.74","−1,736","−20.58","8,447"
"Monroe","5,535","28.97","12,629","66.10","942","4.93","−7,094","−37.13","19,106"
"Montgomery","3,504","27.25","8,630","67.10","744","5.78","−5,126","−39.85","12,878"
"Morgan","4,696","32.10","9,076","62.03","873","5.96","−4,380","−29.93","14,645"
"Moultrie","1,481","23.82","4,455","71.65","295","4.73","−2,974","−47.83","6,231"
"Ogle","8,050","33.77","14,352","60.21","1,467","6.15","−6,302","−26.44","23,869"
"Peoria","38,060","48.47","35,633","45.38","5,408","6.84","2,427","3.09","79,101"
"Perry","2,462","25.18","6,855","70.11","481","4.91","−4,393","−44.93","9,798"
"Piatt","2,645","29.65","5,634","63.16","693","7.72","−2,989","−33.51","8,972"
"Pike","1,413","18.93","5,754","77.08","313","4.18","−4,341","−58.15","7,480"
"Pope","375","17.58","1,678","78.67","83","3.89","−1,303","−61.09","2,136"
"Pulaski","962","35.47","1,675","61.76","75","2.77","−713","−26.29","2,712"
"Putnam","1,147","37.18","1,767","57.28","172","5.57","−620","−20.10","3,086"
"Randolph","3,439","24.41","10,023","71.15","637","4.52","−6,584","−46.74","14,099"
"Richland","1,584","20.74","5,739","75.13","326","4.26","−4,155","−54.39","7,649"
"Rock Island","32,298","51.23","26,998","42.82","3,874","6.13","5,300","8.41","63,170"
"Saline","2,572","22.59","8,276","72.70","536","4.71","−5,704","−50.11","11,384"
"Sangamon","40,907","41.58","49,944","50.77","7,522","7.65","−9,037","−9.19","98,373"
"Schuyler","1,075","28.04","2,524","65.83","235","6.13","−1,449","−37.79","3,834"
"Scott","535","20.51","1,966","75.38","107","4.10","−1,431","−54.87","2,608"
"Shelby","2,288","20.71","8,229","74.48","532","4.81","−5,941","−53.77","11,049"
"St. Clair","60,756","50.03","53,857","44.35","6,823","5.62","6,899","5.68","121,436"
"Stark","751","27.64","1,778","65.44","188","6.92","−1,027","−37.80","2,717"
"Stephenson","7,768","38.76","11,083","55.31","1,235","6.15","−3,315","−16.55","20,086"
"Tazewell","20,685","32.53","38,707","60.87","4,539","7.10","−18,022","−28.34","63,931"
"Union","2,402","28.13","5,790","67.81","358","4.19","−3,388","−39.68","8,550"
"Vermilion","10,039","32.89","19,087","62.54","1,443","4.72","−9,048","−29.65","30,569"
"Wabash","1,151","21.26","4,047","74.74","230","4.24","−2,896","−53.48","5,428"
"Warren","2,987","38.73","4,275","55.43","468","6.05","−1,288","−16.70","7,730"
"Washington","1,448","19.61","5,571","75.45","375","5.07","−4,123","−55.84","7,394"
"Wayne","1,048","12.69","6,967","84.34","250","3.02","−5,919","−71.65","8,265"
"White","1,412","19.37","5,640","77.36","244","3.34","−4,228","−57.99","7,296"
"Whiteside","11,035","43.68","12,615","49.93","1,629","6.44","−1,580","−6.25","25,279"
"Will","151,927","50.58","132,720","44.18","16,251","5.40","19,207","6.40","300,898"
"Williamson","8,581","27.20","21,570","68.38","1,472","4.65","−12,989","−41.18","31,623"
"Winnebago","55,713","47.17","55,624","47.10","7,038","5.95","89","0.07","118,375"
"Woodford","5,092","26.17","13,207","67.86","1,333","6.79","−8,115","−41.69","19,632"
