County,Dem,1,Rep,2,3,4,5
Allen,26.27,"1,433",66.94,"3,651",6.78,370,"5,454
"
Anderson,20.06,672,72.69,"2,435",7.25,243,"3,350
"
Atchison,30.25,"1,989",61.58,"4,049",8.17,537,"6,575
"
Barber,12.70,286,82.15,"1,850",5.15,116,"2,252
"
Barton,17.91,"1,839",76.82,"7,888",5.27,541,"10,268
"
Bourbon,21.93,"1,336",72.61,"4,424",5.47,333,"6,093
"
Brown,21.38,863,72.00,"2,906",6.62,267,"4,036
"
Butler,23.77,"6,573",68.96,"19,073",7.27,"2,011","27,657
"
Chase,23.08,316,70.78,969,6.14,84,"1,369
"
Chautauqua,13.30,197,83.46,"1,236",3.24,48,"1,481
"
Cherokee,23.26,"2,005",71.72,"6,182",5.02,433,"8,620
"
Cheyenne,12.86,181,83.37,"1,173",3.77,53,"1,407
"
Clark,11.94,120,82.09,825,5.97,60,"1,005
"
Clay,17.72,677,75.68,"2,891",6.60,252,"3,820
"
Cloud,19.36,761,74.27,"2,919",6.36,250,"3,930
"
Coffey,17.87,727,74.98,"3,050",7.15,291,"4,068
"
Comanche,11.76,102,82.47,715,5.77,50,"867
"
Cowley,28.14,"3,551",65.53,"8,270",6.34,800,"12,621
"
Crawford,34.91,"5,199",57.91,"8,624",7.17,"1,068","14,891
"
Decatur,12.26,178,83.33,"1,210",4.41,64,"1,452
"
Dickinson,19.60,"1,609",73.43,"6,029",6.97,572,"8,210
"
Doniphan,17.38,587,77.15,"2,606",5.48,185,"3,378
"
Douglas,62.28,"31,195",29.32,"14,688",8.39,"4,204","50,087
"
Edwards,16.07,212,78.62,"1,037",5.31,70,"1,319
"
Elk,12.71,160,83.24,"1,048",4.05,51,"1,259
"
Ellis,22.95,"2,742",70.86,"8,466",6.19,739,"11,947
"
Ellsworth,19.45,521,73.50,"1,969",7.05,189,"2,679
"
Finney,31.45,"3,195",62.51,"6,350",6.04,614,"10,159
"
Ford,27.84,"2,149",66.26,"5,114",5.90,455,"7,718
"
Franklin,26.37,"2,892",65.53,"7,185",8.10,888,"10,965
"
Geary,36.27,"2,722",56.96,"4,274",6.77,508,"7,504
"
Gove,11.09,149,84.88,"1,140",4.02,54,"1,343
"
Graham,14.64,188,79.83,"1,025",5.53,71,"1,284
"
Grant,18.46,441,75.51,"1,804",6.03,144,"2,389
"
Gray,12.73,263,82.19,"1,698",5.08,105,"2,066
"
Greeley,12.77,83,82.15,534,5.08,33,"650
"
Greenwood,17.08,485,76.06,"2,160",6.87,195,"2,840
"
Hamilton,13.81,121,80.48,705,5.71,50,"876
"
