County,Dem,0,Rep,1,2,3,4,5,6,7,8,9,10
Adair,16.07,"1,323",80.61,"6,637",1.71,141,1.12,92,0.43,35,0.06,5,"8,233
"
Allen,16.66,"1,349",79.87,"6,466",1.99,161,0.78,63,0.57,46,0.14,11,"8,096
"
Anderson,23.06,"2,634",72.16,"8,242",2.79,319,1.44,165,0.47,54,0.07,8,"11,422
"
Ballard,19.90,816,77.08,"3,161",1.88,77,0.56,23,0.49,20,0.10,4,"4,101
"
Barren,23.12,"4,275",72.93,"13,483",2.46,455,0.90,167,0.50,93,0.08,15,"18,488
"
Bath,29.67,"1,361",67.19,"3,082",1.64,75,0.76,35,0.52,24,0.22,10,"4,587
"
Bell,17.70,"1,720",79.89,"7,764",1.48,144,0.45,44,0.43,42,0.04,4,"9,718
"
Boone,26.08,"15,026",67.83,"39,082",3.99,"2,299",1.32,763,0.66,380,0.12,68,"57,618
"
Bourbon,31.71,"2,791",63.26,"5,569",3.21,283,1.09,96,0.59,52,0.14,12,"8,803
"
Boyd,29.44,"6,021",66.45,"13,591",2.42,496,0.82,168,0.82,167,0.05,11,"20,454
"
Boyle,33.07,"4,281",62.10,"8,040",2.82,365,1.31,169,0.56,73,0.14,18,"12,946
"
Bracken,19.99,705,76.86,"2,711",1.45,51,0.99,35,0.57,20,0.14,5,"3,527
"
Breathitt,26.79,"1,537",69.55,"3,991",2.04,117,0.84,48,0.61,35,0.17,10,"5,738
"
Breckinridge,22.34,"1,960",73.90,"6,484",2.21,194,0.91,80,0.54,47,0.10,9,"8,774
"
Bullitt,22.89,"8,255",72.67,"26,210",2.67,964,0.98,354,0.70,253,0.09,33,"36,069
"
Butler,16.98,947,79.41,"4,428",2.44,136,0.95,53,0.00,0,0.22,12,"5,576
"
Caldwell,21.09,"1,260",75.43,"4,507",1.97,118,0.92,55,0.54,32,0.05,3,"5,975
"
Calloway,29.59,"4,749",64.60,"10,367",3.07,492,1.75,281,0.93,150,0.06,10,"16,049
"
Campbell,34.48,"14,658",58.93,"25,050",4.21,"1,789",1.30,552,0.99,422,0.09,39,"42,510
"
Carlisle,16.61,432,80.51,"2,094",1.61,42,0.73,19,0.46,12,0.08,2,"2,601
"
Carroll,28.69,"1,106",67.13,"2,588",2.59,100,0.86,33,0.62,24,0.10,4,"3,855
"
Carter,22.14,"2,276",73.82,"7,587",2.31,237,1.06,109,0.56,58,0.11,11,"10,278
"
Casey,11.91,767,85.14,"5,482",1.88,121,0.62,40,0.43,28,0.02,1,"6,439
"
Christian,32.55,"7,188",63.89,"14,108",2.15,474,0.81,179,0.54,120,0.06,14,"22,083
"
Clark,29.04,"4,706",66.09,"10,710",2.80,453,1.25,203,0.75,121,0.07,12,"16,205
"
Clay,11.11,752,86.61,"5,861",1.23,83,0.59,40,0.38,26,0.07,5,"6,767
"
Clinton,12.26,547,85.37,"3,809",1.34,60,0.52,23,0.34,15,0.18,8,"4,462
"
Crittenden,15.28,617,81.50,"3,290",1.88,76,0.89,36,0.42,17,0.02,1,"4,037
"
Cumberland,14.97,459,81.60,"2,502",2.19,67,0.72,22,0.36,11,0.16,5,"3,066
"
Daviess,30.92,"14,163",63.11,"28,907",3.25,"1,488",1.62,741,0.99,453,0.12,55,"45,807
"
Edmonson,18.67,979,78.85,"4,135",1.47,77,0.53,28,0.38,20,0.10,5,"5,244
"
Elliott,25.92,740,70.05,"2,000",2.35,67,0.74,21,0.67,19,0.28,8,"2,855
"
Estill,19.98,"1,108",76.39,"4,236",2.33,129,0.63,35,0.54,30,0.13,7,"5,545
"
Fayette,51.19,"69,778",41.74,"56,894",3.84,"5,230",1.93,"2,636",1.16,"1,580",0.14,197,"136,315
"
Fleming,21.53,"1,348",75.43,"4,722",1.74,109,0.81,51,0.32,20,0.16,10,"6,260
"
Floyd,24.27,"4,015",72.51,"11,993",2.16,357,0.60,100,0.34,56,0.11,19,"16,540
"
Franklin,44.91,"10,717",49.52,"11,819",3.04,725,1.44,343,0.99,236,0.10,25,"23,865
"
Fulton,32.49,774,65.03,"1,549",1.47,35,0.67,16,0.29,7,0.04,1,"2,382
"
Gallatin,22.44,749,73.19,"2,443",3.00,100,0.72,24,0.54,18,0.12,4,"3,338
"
Garrard,19.06,"1,453",77.45,"5,904",2.06,157,0.87,66,0.43,33,0.13,10,"7,623
"
Grant,19.98,"1,910",76.03,"7,268",2.36,226,0.80,76,0.74,71,0.08,8,"9,559
"
Graves,19.92,"3,308",76.30,"12,671",2.48,411,0.67,112,0.48,80,0.14,24,"16,606
"
Grayson,18.52,"1,959",77.71,"8,219",2.45,259,0.77,81,0.43,46,0.11,12,"10,576
"
Green,15.60,832,81.98,"4,372",1.58,84,0.36,19,0.45,24,0.04,2,"5,333
"
