"County","Democratic","Republican","Total"
"Adams",19446,37525,67695
"Allegheny",523385,251635,898944
"Armstrong",13759,23512,42128
"Beaver",53576,42938,110663
"Bedford",7434,21713,32237
"Berks",114765,101768,256863
"Blair",21603,44699,75535
"Bradford",9215,22326,36324
"Bucks",201254,185672,461310
"Butler",40423,71682,129783
"Cambria",38358,36240,83182
"Cameron",954,1646,2987
"Carbon",17615,19934,44339
"Centre",46278,42843,109015
"Chester",149158,148372,359265
"Clarion",6964,13628,23239
"Clearfield",15614,25548,46523
"Clinton",7598,10565,20811
"Columbia",13653,18639,38035
"Crawford",18343,28726,53613
"Cumberland",61602,88027,178406
"Dauphin",85954,73761,187621
"Delaware",197210,155579,404732
"Elk",7755,9314,19223
"Erie",97678,70285,195467
"Fayette",39984,29944,77316
"Forest",1166,1851,3385
"Franklin",24227,56722,94623
"Fulton",2058,6120,9124
"Greene",10350,9230,21704
"Huntingdon",7520,16448,26687
"Indiana",18405,25085,49874
"Jefferson",8543,18219,30256
"Juniata",3385,8884,13633
"Lackwanna",84320,43497,142575
"Lancaster",109948,168857,331820
"Lawrence",23954,24128,54204
"Lebanon",26582,47431,86963
"Lehigh",114292,79585,234842
"Luzerne",104952,80225,211276
"Lycoming",20565,39413,69008
"McKean",6476,14309,24098
"Mercer",28893,32650,70706
"Mifflin",6569,15959,25283
"Monroe",51348,37066,109981
"Montgomery",286292,201102,574403
"Montour",4695,6486,13299
"Northampton",97878,75307,212972
"Northumberland",18852,27878,53985
"Perry",6489,18095,28054
"Philadelphia",827438,119335,1076764
"Pike",13974,18356,40955
"Potter",2338,7197,10687
"Schuylkill",29869,45010,85526
"Snyder",5269,14140,22180
"Somerset",14085,28032,46659
"Sullivan",1416,2528,4416
"Susquehanna",7168,15067,25516
"Tioga",6009,15961,25221
"Union",7324,12824,24050
"Venango",9591,17535,31048
"Warren",9797,15899,30486
"Washington",66402,62074,145882
"Wayne",9565,18556,33353
"Westmoreland",102458,109215,239997
"Wyoming",5206,10023,17209
"York",97447,148124,291334
