County,1,2,3,4,5,6,7,8,9,10,11
"Anderson","13,201","77.76","3,369","19.84","308","1.81","57","0.34","42","0.25","16,977"
"Andrews","3,927","79.45","836","16.91","147","2.97","18","0.36","15","0.30","4,943"
"Angelina","21,668","72.44","7,538","25.20","560","1.87","106","0.35","39","0.13","29,911"
"Aransas","7,740","73.63","2,465","23.45","238","2.26","41","0.39","28","0.27","10,512"
"Archer","3,786","88.40","394","9.20","80","1.87","10","0.23","13","0.30","4,283"
"Armstrong","924","90.50","70","6.86","18","1.76","5","0.49","4","0.39","1,021"
"Atascosa","8,618","63.03","4,651","34.02","308","2.25","65","0.48","31","0.23","13,673"
"Austin","9,637","78.52","2,320","18.90","248","2.02","51","0.42","18","0.15","12,274"
"Bailey","1,344","74.96","397","22.14","39","2.18","5","0.28","8","0.45","1,793"
"Bandera","8,163","79.89","1,726","16.89","262","2.56","66","0.65","1","0.01","10,218"
"Bastrop","16,328","57.38","10,569","37.14","1,063","3.74","320","1.12","174","0.61","28,454"
"Baylor","1,267","84.52","191","12.74","31","2.07","3","0.20","7","0.47","1,499"
"Bee","4,744","55.91","3,444","40.59","238","2.80","34","0.40","25","0.29","8,485"
"Bell","51,998","54.74","37,801","39.79","3,824","4.03","812","0.85","559","0.59","94,994"
"Bexar","240,333","40.76","319,550","54.19","20,091","3.41","6,645","1.13","3,026","0.51","589,645"
"Blanco","4,212","74.09","1,244","21.88","180","3.17","33","0.58","16","0.28","5,685"
"Borden","330","90.41","31","8.49","3","0.82","1","0.27","0","0.00","365"
"Bosque","6,339","80.88","1,278","16.31","155","1.98","40","0.51","26","0.33","7,838"
"Bowie","24,924","72.03","8,838","25.54","582","1.68","145","0.42","113","0.33","34,602"
"Brazoria","72,791","60.07","43,200","35.65","3,768","3.11","806","0.67","616","0.51","121,181"
"Brazos","38,738","57.64","23,121","34.40","3,813","5.67","536","0.80","1,003","1.49","67,211"
"Brewster","2,077","48.85","1,873","44.05","210","4.94","77","1.81","15","0.35","4,252"
"Briscoe","625","84.92","91","12.36","14","1.90","4","0.54","2","0.27","736"
"Brooks","613","23.61","1,937","74.61","32","1.23","14","0.54","0","0.00","2,596"
"Brown","12,017","85.68","1,621","11.56","253","1.80","65","0.46","70","0.50","14,026"
"Burleson","5,316","76.38","1,491","21.42","118","1.70","20","0.29","15","0.22","6,960"
"Burnet","14,638","76.22","3,797","19.77","564","2.94","104","0.54","101","0.53","19,204"
"Caldwell","6,691","55.33","4,795","39.65","446","3.69","105","0.87","55","0.45","12,092"
"Calhoun","4,638","66.59","2,118","30.41","168","2.41","33","0.47","8","0.11","6,965"
"Callahan","4,865","87.20","569","10.20","107","1.92","23","0.41","15","0.27","5,579"
"Cameron","29,472","32.01","59,402","64.51","2,236","2.43","822","0.89","147","0.16","92,079"
"Camp","3,201","70.48","1,260","27.74","66","1.45","15","0.33","0","0.00","4,542"
"Carson","2,620","88.39","249","8.40","68","2.29","11","0.37","16","0.54","2,964"
"Cass","9,726","78.79","2,391","19.37","145","1.17","34","0.28","48","0.39","12,344"
"Castro","1,414","70.81","526","26.34","47","2.35","10","0.50","0","0.00","1,997"
"Chambers","13,339","79.47","2,948","17.56","385","2.29","59","0.35","55","0.33","16,786"
"Cherokee","12,919","76.94","3,469","20.66","305","1.82","34","0.20","63","0.38","16,790"
"Childress","1,802","86.47","253","12.14","24","1.15","5","0.24","0","0.00","2,084"
"Clay","4,377","87.23","536","10.68","87","1.73","12","0.24","6","0.12","5,018"
"Cochran","679","75.36","190","21.09","29","3.22","3","0.33","0","0.00","901"
"Coke","1,265","88.90","140","9.84","16","1.12","2","0.14","0","0.00","1,423"
"Coleman","3,177","87.21","388","10.65","53","1.45","18","0.49","7","0.19","3,643"
"Collin","201,014","55.62","140,624","38.91","13,855","3.83","2,539","0.70","3,387","0.94","361,419"
"Collingsworth","983","85.03","145","12.54","22","1.90","4","0.35","2","0.17","1,156"
"Colorado","6,325","74.30","1,987","23.34","144","1.69","37","0.43","20","0.23","8,513"
"Comal","45,136","72.59","14,238","22.90","2,068","3.33","343","0.55","393","0.63","62,178"
"Comanche","4,333","82.74","789","15.07","88","1.68","21","0.40","6","0.11","5,237"
"Concho","885","82.87","148","13.86","27","2.53","7","0.66","1","0.09","1,068"
"Cooke","13,181","82.61","2,352","14.74","317","1.99","60","0.38","45","0.28","15,955"
"Coryell","12,225","66.98","5,064","27.74","704","3.86","161","0.88","99","0.54","18,253"
"Cottle","506","82.68","92","15.03","12","1.96","2","0.33","0","0.00","612"
"Crane","1,049","75.79","299","21.60","28","2.02","7","0.51","1","0.07","1,384"
"Crockett","980","70.25","372","26.67","39","2.80","4","0.29","0","0.00","1,395"
"Crosby","1,181","68.34","468","27.08","60","3.47","5","0.29","14","0.81","1,728"
"Culberson","280","36.51","454","59.19","23","3.00","6","0.78","4","0.52","767"
"Dallam","1,261","81.67","222","14.38","46","2.98","9","0.58","6","0.39","1,544"
"Dallas","262,945","34.64","461,080","60.75","24,025","3.17","6,114","0.81","4,809","0.63","758,973"
"Dawson","2,636","73.98","835","23.44","80","2.25","11","0.31","1","0.03","3,563"
"Deaf Smith","2,911","69.05","1,185","28.11","91","2.16","14","0.33","15","0.36","4,216"
"Delta","1,836","80.49","400","17.54","36","1.58","7","0.31","2","0.09","2,281"
"Denton","170,603","57.13","110,890","37.13","11,583","3.88","2,660","0.89","2,909","0.97","298,645"
"Dewitt","5,519","80.64","1,163","16.99","124","1.81","27","0.39","11","0.16","6,844"
"Dickens","755","83.06","128","14.08","23","2.53","3","0.33","0","0.00","909"
"Dimmit","974","30.20","2,173","67.38","57","1.77","21","0.65","0","0.00","3,225"
"Donley","1,225","83.62","191","13.04","40","2.73","5","0.34","4","0.27","1,465"
"Duval","1,316","31.57","2,783","66.77","49","1.18","19","0.46","1","0.02","4,168"
"Eastland","6,011","86.33","776","11.14","120","1.72","31","0.45","25","0.36","6,963"
"Ector","25,020","68.49","10,249","28.06","1,009","2.76","167","0.46","85","0.23","36,530"
"Edwards","746","69.52","303","28.24","17","1.58","5","0.47","2","0.19","1,073"
"Ellis","44,941","70.58","16,253","25.53","1,747","2.74","325","0.51","407","0.64","63,673"
"El Paso","55,512","25.94","147,843","69.08","7,607","3.55","2,945","1.38","101","0.05","214,008"
"Erath","11,210","80.69","2,160","15.55","378","2.72","68","0.49","77","0.55","13,893"
"Falls","3,441","65.57","1,684","32.09","90","1.71","23","0.44","10","0.19","5,248"
"Fannin","9,548","79.28","2,132","17.70","269","2.23","46","0.38","49","0.41","12,044"
"Fayette","8,743","78.24","2,144","19.19","209","1.87","45","0.40","33","0.30","11,174"
"Fisher","1,265","73.16","403","23.31","44","2.54","10","0.58","7","0.40","1,729"
"Floyd","1,474","75.24","435","22.21","47","2.40","3","0.15","0","0.00","1,959"
"Foard","383","74.66","113","22.03","14","2.73","1","0.19","2","0.39","513"
"Fort Bend","117,291","44.76","134,686","51.39","6,907","2.64","1,783","0.68","1,399","0.53","262,066"
"Franklin","3,585","81.85","665","15.18","96","2.19","12","0.27","22","0.50","4,380"
"Freestone","6,026","78.42","1,471","19.14","139","1.81","13","0.17","35","0.46","7,684"
"Frio","1,856","42.18","2,444","55.55","76","1.73","24","0.55","0","0.00","4,400"
"Gaines","3,907","84.57","597","12.92","85","1.84","20","0.43","11","0.24","4,620"
"Galveston","73,757","60.01","43,658","35.52","4,045","3.29","889","0.72","554","0.45","122,903"
"Garza","1,225","82.55","230","15.50","21","1.42","7","0.47","1","0.07","1,484"
"Gillespie","10,446","79.05","2,288","17.31","333","2.52","61","0.46","86","0.65","13,214"
"Glasscock","553","91.56","34","5.63","13","2.15","2","0.33","2","0.33","604"
"Goliad","2,620","70.66","973","26.24","101","2.72","10","0.27","4","0.11","3,708"
"Gonzales","4,587","72.42","1,571","24.80","129","2.04","28","0.44","19","0.30","6,334"
"Gray","6,500","87.78","701","9.47","144","1.94","22","0.30","38","0.51","7,405"
"Grayson","35,325","74.50","10,301","21.72","1,258","2.65","264","0.56","268","0.57","47,416"
"Gregg","28,764","68.90","11,677","27.97","903","2.16","150","0.36","255","0.61","41,749"
"Grimes","7,065","74.11","2,194","23.01","219","2.30","50","0.52","5","0.05","9,533"
"Guadalupe","36,632","63.35","18,391","31.81","2,022","3.50","412","0.71","365","0.63","57,822"
"Hale","6,366","71.87","2,101","23.72","324","3.66","43","0.49","24","0.27","8,858"
"Hall","893","81.85","164","15.03","34","3.12","0","0.00","0","0.00","1,091"
"Hamilton","3,060","84.53","479","13.23","64","1.77","10","0.28","7","0.19","3,620"
"Hansford","1,730","88.85","171","8.78","37","1.90","9","0.46","0","0.00","1,947"
"Hardeman","1,207","79.78","249","16.46","48","3.17","7","0.46","2","0.13","1,513"
"Hardin","19,606","86.07","2,780","12.20","353","1.55","41","0.18","0","0.00","22,780"
"Harris","545,955","41.61","707,914","53.95","39,781","3.03","11,784","0.90","6,678","0.51","1,312,112"
"Harrison","18,749","70.62","7,151","26.94","449","1.69","76","0.29","123","0.46","26,548"
"Hartley","1,730","88.63","173","8.86","43","2.20","3","0.15","3","0.15","1,952"
"Haskell","1,403","79.27","314","17.74","42","2.37","6","0.34","5","0.28","1,770"
"Hays","33,826","46.87","33,224","46.04","3,630","5.03","1,061","1.47","423","0.59","72,164"
"Hemphill","1,462","86.25","181","10.68","44","2.60","2","0.12","6","0.35","1,695"
"Henderson","23,650","78.72","5,669","18.87","535","1.78","102","0.34","89","0.30","30,045"
"Hidalgo","48,642","28.05","118,809","68.50","3,788","2.18","1,856","1.07","342","0.20","173,437"
"Hill","10,108","77.93","2,547","19.64","256","1.97","40","0.31","19","0.15","12,970"
"Hockley","5,809","79.46","1,260","17.23","199","2.72","33","0.45","10","0.14","7,311"
"Hood","21,382","81.42","4,008","15.26","641","2.44","113","0.43","118","0.45","26,262"
"Hopkins","10,707","79.09","2,510","18.54","220","1.63","44","0.33","57","0.42","13,538"
"Houston","6,205","74.28","1,978","23.68","90","1.08","29","0.35","51","0.61","8,353"
"Howard","6,637","76.09","1,770","20.29","232","2.66","56","0.64","28","0.32","8,723"
"Hudspeth","503","57.75","324","37.20","38","4.36","6","0.69","0","0.00","871"
"Hunt","23,910","75.77","6,396","20.27","862","2.73","162","0.51","224","0.71","31,554"
"Hutchinson","7,042","86.35","854","10.47","210","2.58","23","0.28","26","0.32","8,155"
"Irion","660","86.16","90","11.75","9","1.17","1","0.13","6","0.78","766"
"Jack","2,973","88.75","314","9.37","42","1.25","10","0.30","11","0.33","3,350"
"Jackson","4,266","80.46","904","17.05","78","1.47","27","0.51","27","0.51","5,302"
"Jasper","10,609","79.06","2,590","19.30","156","1.16","38","0.28","26","0.19","13,419"
"Jeff Davis","695","58.35","422","35.43","42","3.53","17","1.43","15","1.26","1,191"
"Jefferson","42,862","48.92","42,443","48.44","1,714","1.96","420","0.48","179","0.20","87,618"
"Jim Hogg","430","20.29","1,635","77.16","42","1.98","12","0.57","0","0.00","2,119"
"Jim Wells","5,420","43.78","6,694","54.08","210","1.70","40","0.32","15","0.12","12,379"
"Johnson","44,382","77.04","10,988","19.07","1,605","2.79","324","0.56","307","0.53","57,606"
"Jones","4,819","80.86","936","15.70","162","2.72","21","0.35","22","0.37","5,960"
