

"Accomack
","6,740
","42.61%
","8,583
","54.26%
","264
","1.67%
","112
","0.71%
","66
","0.42%
","53
","0.34%
","−1,843
","−11.65%
","15,818
"
"Albemarle
","33,345
","58.78%
","19,259
","33.95%
","2,105
","3.71%
","1,059
","1.87%
","450
","0.79%
","508
","0.90%
","14,086
","24.83%
","56,726
"
"Alleghany
","2,166
","29.57%
","4,874
","66.54%
","164
","2.24%
","69
","0.94%
","35
","0.48%
","17
","0.23%
","−2,708
","−36.97%
","7,325
"
"Amelia
","2,128
","30.23%
","4,708
","66.88%
","129
","1.83%
","41
","0.58%
","11
","0.16%
","23
","0.33%
","−2,580
","−36.65%
","7,040
"
"Amherst
","5,057
","32.85%
","9,719
","63.13%
","317
","2.06%
","159
","1.03%
","65
","0.42%
","79
","0.51%
","−4,662
","−30.28%
","15,396
"
"Appomattox
","2,023
","25.25%
","5,715
","71.34%
","136
","1.70%
","50
","0.62%
","31
","0.39%
","56
","0.70%
","−3,692
","−46.09%
","8,011
"
"Arlington
","92,016
","75.82%
","20,186
","16.63%
","3,827
","3.15%
","2,594
","2.14%
","819
","0.67%
","1,914
","1.58%
","71,830
","59.19%
","121,356
"
"Augusta
","8,177
","22.50%
","26,163
","71.99%
","1,099
","3.02%
","502
","1.38%
","200
","0.55%
","202
","0.56%
","−17,986
","−49.49%
","36,343
"
"Bath
","603
","26.76%
","1,548
","68.71%
","56
","2.49%
","22
","0.98%
","15
","0.67%
","9
","0.40%
","−945
","−41.94%
","2,253
"
"Bedford
","9,768
","22.97%
","30,659
","72.10%
","1,074
","2.53%
","627
","1.47%
","176
","0.41%
","221
","0.52%
","−20,891
","−49.13%
","42,525
"
"Bland
","453
","14.43%
","2,573
","81.97%
","61
","1.94%
","21
","0.67%
","17
","0.54%
","14
","0.45%
","−2,120
","−67.54%
","3,139
"
"Botetourt
","4,494
","23.98%
","13,375
","71.38%
","497
","2.65%
","185
","0.99%
","101
","0.54%
","87
","0.46%
","−8,881
","−47.39%
","18,739
"
"Brunswick
","4,481
","58.43%
","3,046
","39.72%
","72
","0.94%
","30
","0.39%
","25
","0.33%
","15
","0.20%
","1,435
","18.71%
","7,669
"
