,RUCC_2013
186,1.0
187,8.0
188,6.0
189,3.0
190,6.0
191,6.0
192,1.0
193,7.0
194,1.0
195,2.0
196,6.0
197,5.0
198,3.0
199,7.0
200,2.0
201,3.0
202,4.0
203,7.0
204,1.0
205,3.0
206,1.0
207,8.0
208,4.0
209,2.0
210,6.0
211,7.0
212,2.0
213,3.0
214,4.0
215,1.0
216,1.0
217,7.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,2.0
225,2.0
226,1.0
227,2.0
228,1.0
229,2.0
230,3.0
231,8.0
232,6.0
233,2.0
234,2.0
235,2.0
236,3.0
237,4.0
238,8.0
239,2.0
240,4.0
241,2.0
242,1.0
243,3.0
387,7.0
388,9.0
389,7.0
390,3.0
391,4.0
392,8.0
393,1.0
394,1.0
395,7.0
396,6.0
397,3.0
398,6.0
399,3.0
400,3.0
401,2.0
402,4.0
403,2.0
404,1.0
405,8.0
406,4.0
407,7.0
408,1.0
409,2.0
410,6.0
411,2.0
412,2.0
413,6.0
414,1.0
415,3.0
416,9.0
417,1.0
418,6.0
419,1.0
420,7.0
421,6.0
422,2.0
423,6.0
424,1.0
425,3.0
426,6.0
427,2.0
428,1.0
430,1.0
429,6.0
431,6.0
432,6.0
433,3.0
434,1.0
435,6.0
436,3.0
437,2.0
438,6.0
439,7.0
440,6.0
441,8.0
442,1.0
443,3.0
444,1.0
445,8.0
446,1.0
447,6.0
448,9.0
449,3.0
450,4.0
451,6.0
452,6.0
453,1.0
454,6.0
455,3.0
456,7.0
457,1.0
458,2.0
459,6.0
460,1.0
461,1.0
462,3.0
463,7.0
464,4.0
465,1.0
466,7.0
467,6.0
468,6.0
469,7.0
470,3.0
471,1.0
472,3.0
473,5.0
474,3.0
475,3.0
476,2.0
477,3.0
478,3.0
479,6.0
482,6.0
483,3.0
484,2.0
480,2.0
481,3.0
485,1.0
486,8.0
487,6.0
488,3.0
489,9.0
490,1.0
491,3.0
492,2.0
493,1.0
494,3.0
495,3.0
496,1.0
497,3.0
498,1.0
499,6.0
500,1.0
501,4.0
502,3.0
503,6.0
504,9.0
505,7.0
506,6.0
507,2.0
508,1.0
509,8.0
510,6.0
511,6.0
512,1.0
513,7.0
514,8.0
515,6.0
516,8.0
517,8.0
518,6.0
519,8.0
520,7.0
521,3.0
522,4.0
523,5.0
524,7.0
525,9.0
526,7.0
527,4.0
528,6.0
529,3.0
530,9.0
531,6.0
532,2.0
533,1.0
534,5.0
535,8.0
536,7.0
537,6.0
538,8.0
539,9.0
540,6.0
541,3.0
542,8.0
543,6.0
544,8.0
545,3.0
595,5.0
596,3.0
597,1.0
598,2.0
599,7.0
600,7.0
601,1.0
602,7.0
603,6.0
604,3.0
605,6.0
606,6.0
607,7.0
608,1.0
609,5.0
610,1.0
611,7.0
612,9.0
614,3.0
613,1.0
615,6.0
616,1.0
617,6.0
618,9.0
619,7.0
620,6.0
621,3.0
622,4.0
623,6.0
624,8.0
625,6.0
626,1.0
627,7.0
628,7.0
629,9.0
630,9.0
631,2.0
632,6.0
633,3.0
634,7.0
635,7.0
636,1.0
637,6.0
638,8.0
639,1.0
640,3.0
641,1.0
642,4.0
644,4.0
643,1.0
645,7.0
646,6.0
647,4.0
648,6.0
652,3.0
653,1.0
654,1.0
655,4.0
656,2.0
657,6.0
658,7.0
649,5.0
650,1.0
651,3.0
659,3.0
660,2.0
661,1.0
662,6.0
663,4.0
664,6.0
665,4.0
666,2.0
667,6.0
668,3.0
669,7.0
670,8.0
671,8.0
672,8.0
673,6.0
674,7.0
675,2.0
677,6.0
678,3.0
679,7.0
680,9.0
681,6.0
676,1.0
682,2.0
683,4.0
684,2.0
685,6.0
686,3.0
687,7.0
688,6.0
689,6.0
690,7.0
691,6.0
692,4.0
693,1.0
694,3.0
695,2.0
696,2.0
888,7.0
889,6.0
890,6.0
891,9.0
892,7.0
893,6.0
894,6.0
895,2.0
896,9.0
897,8.0
898,6.0
899,9.0
900,9.0
901,6.0
902,7.0
903,6.0
904,9.0
905,4.0
906,4.0
907,9.0
908,7.0
909,3.0
910,3.0
911,9.0
912,8.0
913,5.0
914,7.0
915,5.0
916,5.0
917,6.0
918,4.0
919,9.0
920,9.0
921,7.0
922,9.0
923,9.0
924,6.0
925,9.0
926,8.0
927,2.0
928,9.0
929,9.0
930,3.0
931,3.0
932,9.0
933,1.0
934,9.0
935,2.0
936,9.0
937,7.0
938,9.0
939,1.0
940,9.0
941,1.0
942,9.0
943,4.0
945,6.0
946,6.0
944,7.0
947,9.0
948,1.0
949,7.0
950,5.0
951,8.0
952,9.0
953,6.0
954,7.0
955,9.0
956,7.0
957,3.0
958,9.0
959,9.0
960,7.0
961,7.0
962,3.0
963,7.0
964,9.0
965,4.0
966,9.0
967,7.0
968,3.0
969,9.0
970,9.0
971,7.0
972,5.0
973,7.0
974,2.0
975,5.0
976,3.0
977,9.0
978,7.0
979,9.0
980,9.0
981,9.0
982,7.0
983,2.0
984,7.0
985,9.0
986,3.0
987,9.0
988,9.0
989,9.0
990,7.0
991,9.0
992,1.0
993,7.0
994,3.0
995,6.0
996,9.0
997,6.0
998,8.0
999,7.0
1000,1.0
1001,2.0
1002,2.0
1003,7.0
1004,1.0
1005,7.0
1006,8.0
1007,1.0
1008,3.0
1009,7.0
1010,7.0
1011,1.0
1012,9.0
1013,6.0
1014,6.0
1015,9.0
1016,2.0
1017,2.0
1018,7.0
1019,9.0
1020,7.0
1021,9.0
1022,3.0
1023,3.0
1024,9.0
1025,6.0
1026,2.0
1027,7.0
1028,7.0
1029,4.0
1030,9.0
1031,1.0
1032,6.0
1033,1.0
1034,7.0
1035,6.0
1036,8.0
1037,2.0
1038,3.0
1039,3.0
1040,7.0
1041,6.0
1042,8.0
1043,2.0
1044,1.0
1045,9.0
1046,5.0
1047,9.0
1048,1.0
1049,2.0
1050,7.0
1051,1.0
1052,9.0
1053,7.0
1054,3.0
1055,5.0
1056,6.0
1057,9.0
1058,9.0
1059,9.0
1060,8.0
1061,7.0
1062,9.0
1063,6.0
1064,9.0
1068,4.0
1069,9.0
1070,7.0
1071,7.0
1072,9.0
1073,6.0
1065,5.0
1066,9.0
1067,3.0
1074,3.0
1075,9.0
1076,6.0
1077,9.0
1078,8.0
1079,6.0
1080,9.0
1081,6.0
1082,6.0
1083,8.0
1084,6.0
1085,1.0
1086,8.0
1087,9.0
1088,1.0
1089,7.0
1090,7.0
1091,6.0
1092,5.0
1093,8.0
1094,7.0
1095,7.0
1096,9.0
1097,2.0
1098,1.0
1099,6.0
1100,1.0
1101,7.0
1102,8.0
1103,2.0
1104,1.0
1105,6.0
1106,3.0
1107,9.0
1108,7.0
1109,8.0
1110,7.0
1111,9.0
1112,2.0
2244,3.0
2245,1.0
2246,1.0
2247,1.0
2248,6.0
2249,2.0
2250,3.0
2251,6.0
2252,1.0
2253,1.0
2254,3.0
2255,7.0
2256,2.0
2257,3.0
2258,1.0
2259,6.0
2260,4.0
2261,4.0
2262,3.0
2263,4.0
2264,2.0
2265,2.0
2266,1.0
2267,7.0
2268,2.0
2269,1.0
2270,9.0
2271,3.0
2272,8.0
2273,6.0
2274,6.0
2275,4.0
2276,7.0
2277,6.0
2278,2.0
2279,2.0
2280,4.0
2281,3.0
2282,2.0
2283,2.0
2284,3.0
2285,7.0
2286,2.0
2287,4.0
2288,3.0
2289,1.0
2290,3.0
2291,2.0
2292,4.0
2293,2.0
2294,1.0
2295,1.0
2296,9.0
2297,4.0
2298,7.0
2299,4.0
2300,8.0
2301,6.0
2302,6.0
2303,4.0
2304,4.0
2305,6.0
2306,1.0
2307,6.0
2308,1.0
2309,2.0
2310,2.0
2523,7.0
2524,6.0
2525,5.0
2526,2.0
2527,3.0
2528,2.0
2529,1.0
2530,1.0
2531,7.0
2532,1.0
2533,1.0
2534,8.0
2535,6.0
2536,2.0
2537,1.0
2538,8.0
2539,8.0
2540,6.0
2541,3.0
2542,1.0
2543,3.0
2544,7.0
2545,9.0
2546,7.0
2547,5.0
2548,3.0
2549,6.0
2550,1.0
2551,6.0
2552,3.0
2553,2.0
2554,6.0
2555,2.0
2556,6.0
2557,6.0
2558,1.0
2559,6.0
2560,7.0
2561,3.0
2562,9.0
2563,8.0
2564,6.0
2565,1.0
2566,9.0
2567,6.0
2568,1.0
2569,7.0
2570,8.0
2571,6.0
2572,2.0
2573,9.0
2574,6.0
2575,7.0
2576,2.0
2577,9.0
2578,7.0
2579,1.0
2580,7.0
2584,6.0
2581,6.0
2582,8.0
2583,1.0
2585,8.0
2586,6.0
2587,8.0
2588,7.0
2589,6.0
2590,3.0
2591,9.0
2593,2.0
2592,1.0
2594,4.0
2595,2.0
2596,6.0
2597,6.0
2598,8.0
2599,6.0
2600,9.0
2601,1.0
2602,7.0
2603,7.0
2604,6.0
2605,7.0
2606,1.0
2607,6.0
2608,7.0
2609,8.0
2610,3.0
2611,6.0
2612,6.0
2613,3.0
2614,3.0
2615,6.0
2616,1.0
2617,4.0
2618,9.0
2619,6.0
2620,7.0
2621,9.0
2622,2.0
