,County,State,Population Density,Dem Rep Margin,Population Over 85,Nonwhite Population,Unemployment Rate (2019),Median Household Income (2019,COVID Cases Per 100K
0,Alameda,California,1898.5,44.6,31209,14167,2.9,1744,1286.8800816595653
1,Alpine,California,1.6,15.4,29,5,5.1,5384,177.1479185119575
2,Amador,California,61.3,-15.4,1098,53,3.8,8515,651.5395451801168
3,Butte,California,132.1,0.6,5087,301,5.1,945,1295.7031927221628
4,Calaveras,California,43.3,-14.5,1171,72,3.8,2984,705.8054678139638
5,Colusa,California,18.5,-10.9,372,25,12.8,7249,2496.867313315079
6,Contra Costa,California,1345.2,29.1,23440,5481,3.1,1463,1479.723907393505
7,Del Norte,California,22.8,-5.4,542,63,5.7,8518,524.9532575866533
8,El Dorado,California,101.6,-11.3,4438,206,3.5,1869,611.8967242782987
9,Fresno,California,157.8,4.8,15441,2528,7.2,2318,2882.191089789721
10,Glenn,California,21.1,-14.2,514,27,6.1,7365,2123.7628993061667
11,Humboldt,California,33.3,20.9,2770,227,3.6,9471,382.12425677569746
12,Imperial,California,39.5,28.9,3234,304,18.3,6633,6623.072041497669
13,Inyo,California,1.8,-8.9,610,60,3.5,3793,1058.8170075946562
14,Kern,California,105.1,-1.7,10371,1397,7.7,1586,3592.8602691395927
15,Kings,California,108.8,-7.6,1941,242,7.9,8255,5133.385641428011
16,Lake,California,48.3,10.9,1454,120,5.0,5086,902.3700804522723
17,Lassen,California,7.1,-29.2,548,59,4.6,7705,2426.9780525300102
18,Los Angeles,California,2099.4,33.0,193087,61136,4.4,7986,2715.908895083995
19,Madera,California,70.8,-6.6,2391,231,6.9,3632,2950.542500651509
20,Marin,California,310.1,40.9,7883,629,2.3,22933,2599.81609266457
21,Mariposa,California,12.3,-14.8,537,40,4.6,1402,441.7834098703715
22,Mendocino,California,22.6,27.2,2163,153,4.0,1386,1119.3212601874372
23,Merced,California,132.2,15.4,3754,597,8.1,6169,3253.0250648228166
24,Modoc,California,2.2,-27.9,266,18,7.1,5227,305.3953172718018
25,Mono,California,4.5,3.9,209,17,3.7,6499,1170.0360011077262
26,Monterey,California,112.7,28.6,8376,1495,6.2,9665,2354.277394191139
27,Napa,California,176.6,23.6,3649,390,2.8,5624,1258.8570101057032
28,Nevada,California,101.3,3.5,3033,97,3.3,6681,544.3336173625382
29,Orange,California,3255.4,-0.7,64090,14690,2.8,9373,1704.1325166294464
30,Placer,California,240.6,-13.1,9879,798,3.1,9175,910.8048874171852
31,Plumas,California,7.4,-14.2,445,31,7.7,5079,265.85845695751584
32,Riverside,California,310.4,4.7,43764,5212,4.2,6793,2425.94147204707
33,Sacramento,California,1459.0,16.8,27883,7546,3.7,9475,1472.560948108898
34,San Benito,California,40.9,19.2,978,82,5.0,63,2162.144949687938
35,San Bernardino,California,103.4,10.0,27222,5168,3.8,3310,2553.6160287328244
36,San Diego,California,703.4,8.6,64590,10911,3.2,8777,1431.5840555008044
37,San Francisco,California,3575.3,50.4,22453,13030,2.2,10601,1288.640790245352
38,San Joaquin,California,491.4,12.6,11966,2784,5.9,3567,2687.798170434089
39,San Luis Obispo,California,75.8,-0.1,7152,357,2.9,626,1301.6096160163333
40,San Mateo,California,998.5,35.2,18411,5794,2.0,22930,1320.9439935922605
41,Santa Barbara,California,113.9,16.6,10475,841,3.7,5646,2071.4492081729186
