,index,STNAME1,CTYNAME1,Population over 85
0,948,California,Alameda County,31209
1,964,California,Alpine County,29
2,913,California,Amador County,1098
3,927,California,Butte County,5087
4,979,California,Calaveras County,1171
5,980,California,Colusa County,372
6,805,California,Contra Costa County,23440
7,819,California,Del Norte County,542
8,798,California,El Dorado County,4438
9,780,California,Fresno County,15441
10,795,California,Glenn County,514
11,879,California,Humboldt County,2770
12,895,California,Imperial County,3234
13,843,California,Inyo County,610
14,859,California,Kern County,10371
15,856,California,Kings County,1941
16,898,California,Lake County,1454
17,870,California,Lassen County,548
18,770,California,Los Angeles County,193087
19,818,California,Madera County,2391
20,989,California,Marin County,7883
21,924,California,Mariposa County,537
22,962,California,Mendocino County,2163
23,766,California,Merced County,3754
24,907,California,Modoc County,266
25,987,California,Mono County,209
26,901,California,Monterey County,8376
27,785,California,Napa County,3649
28,896,California,Nevada County,3033
29,860,California,Orange County,64090
30,848,California,Placer County,9879
31,894,California,Plumas County,445
32,877,California,Riverside County,43764
33,788,California,Sacramento County,27883
34,783,California,San Benito County,978
35,816,California,San Bernardino County,27222
36,990,California,San Diego County,64590
37,983,California,San Francisco County,22453
38,920,California,San Joaquin County,11966
39,933,California,San Luis Obispo County,7152
40,947,California,San Mateo County,18411
41,958,California,Santa Barbara County,10475
42,928,California,Santa Clara County,37443
43,994,California,Santa Cruz County,5192
44,817,California,Shasta County,4044
45,872,California,Sierra County,93
46,841,California,Siskiyou County,1121
47,845,California,Solano County,8169
48,768,California,Sonoma County,12197
49,991,California,Stanislaus County,8670
50,938,California,Sutter County,2039
51,918,California,Tehama County,1471
52,808,California,Trinity County,300
53,791,California,Tulare County,6156
54,846,California,Tuolumne County,1639
55,857,California,Ventura County,17743
56,893,California,Yolo County,3678
57,800,California,Yuba County,966
58,83,Georgia,Appling County,319
59,80,Georgia,Atkinson County,90
60,77,Georgia,Bacon County,162
61,72,Georgia,Baker County,103
62,21,Georgia,Baldwin County,742
63,17,Georgia,Banks County,249
64,14,Georgia,Barrow County,996
65,10,Georgia,Bartow County,1414
66,6,Georgia,Ben Hill County,286
67,22,Georgia,Berrien County,362
68,23,Georgia,Bibb County,2886
69,44,Georgia,Bleckley County,317
70,41,Georgia,Brantley County,301
71,37,Georgia,Brooks County,238
72,34,Georgia,Bryan County,373
73,31,Georgia,Bulloch County,863
74,27,Georgia,Burke County,316
75,95,Georgia,Butts County,461
76,164,Georgia,Calhoun County,161
77,158,Georgia,Camden County,589
78,145,Georgia,Candler County,182
79,152,Georgia,Carroll County,1519
80,148,Georgia,Catoosa County,1217
81,166,Georgia,Charlton County,226
82,180,Georgia,Chatham County,5229
83,186,Georgia,Chattahoochee County,65
84,182,Georgia,Chattooga County,500
85,177,Georgia,Cherokee County,2792
86,175,Georgia,Clarke County,1549
87,170,Georgia,Clay County,82
88,120,Georgia,Clayton County,1922
89,115,Georgia,Clinch County,87
90,111,Georgia,Cobb County,9228
91,97,Georgia,Coffee County,567
92,104,Georgia,Colquitt County,841
93,100,Georgia,Columbia County,2073
94,118,Georgia,Cook County,286
95,141,Georgia,Coweta County,1747
96,138,Georgia,Crawford County,174
97,133,Georgia,Crisp County,527
98,121,Georgia,Dade County,323
99,128,Georgia,Dawson County,350
100,382,Georgia,DeKalb County,10667
101,123,Georgia,Decatur County,502
102,642,Georgia,Dodge County,420
103,639,Georgia,Dooly County,290
104,636,Georgia,Dougherty County,1772
105,632,Georgia,Douglas County,1376
106,629,Georgia,Early County,246
107,626,Georgia,Echols County,68
108,659,Georgia,Effingham County,638
109,665,Georgia,Elbert County,470
110,661,Georgia,Emanuel County,375
111,657,Georgia,Evans County,198
112,654,Georgia,Fannin County,789
113,650,Georgia,Fayette County,2164
114,599,Georgia,Floyd County,1931
115,596,Georgia,Forsyth County,2561
116,593,Georgia,Franklin County,482
117,588,Georgia,Fulton County,14681
118,584,Georgia,Gilmer County,660
119,580,Georgia,Glascock County,79
120,577,Georgia,Glynn County,1841
121,611,Georgia,Gordon County,839
122,618,Georgia,Grady County,456
123,615,Georgia,Greene County,453
124,610,Georgia,Gwinnett County,8214
125,606,Georgia,Habersham County,864
126,603,Georgia,Hall County,3341
127,670,Georgia,Hancock County,255
128,740,Georgia,Haralson County,487
129,735,Georgia,Harris County,620
130,732,Georgia,Hart County,593
131,728,Georgia,Heard County,219
132,726,Georgia,Henry County,2137
133,722,Georgia,Houston County,1966
134,743,Georgia,Irwin County,241
135,762,Georgia,Jackson County,871
136,758,Georgia,Jasper County,232
137,754,Georgia,Jeff Davis County,175
138,749,Georgia,Jefferson County,294
139,747,Georgia,Jenkins County,175
140,719,Georgia,Johnson County,231
141,692,Georgia,Jones County,483
142,688,Georgia,Lamar County,343
143,684,Georgia,Lanier County,134
144,681,Georgia,Laurens County,1089
145,676,Georgia,Lee County,285
146,673,Georgia,Liberty County,403
147,707,Georgia,Lincoln County,187
148,714,Georgia,Long County,213
149,710,Georgia,Lowndes County,1551
150,696,Georgia,Lumpkin County,503
151,574,Georgia,Macon County,194
152,451,Georgia,Madison County,434
153,448,Georgia,Marion County,131
154,702,Georgia,McDuffie County,338
155,699,Georgia,McIntosh County,403
156,444,Georgia,Meriwether County,508
157,441,Georgia,Miller County,204
158,437,Georgia,Mitchell County,387
159,434,Georgia,Monroe County,605
160,454,Georgia,Montgomery County,118
161,474,Georgia,Morgan County,381
162,470,Georgia,Murray County,493
163,468,Georgia,Muscogee County,3307
164,464,Georgia,Newton County,1384
165,459,Georgia,Oconee County,625
166,457,Georgia,Oglethorpe County,301
167,407,Georgia,Paulding County,1425
168,400,Georgia,Peach County,434
169,397,Georgia,Pickens County,572
170,384,Georgia,Pierce County,341
171,389,Georgia,Pike County,286
172,386,Georgia,Polk County,663
173,406,Georgia,Pulaski County,294
174,426,Georgia,Putnam County,463
175,423,Georgia,Quitman County,73
176,408,Georgia,Rabun County,473
177,416,Georgia,Randolph County,291
178,412,Georgia,Richmond County,3096
179,477,Georgia,Rockdale County,1262
180,527,Georgia,Schley County,100
181,545,Georgia,Screven County,263
182,542,Georgia,Seminole County,213
183,528,Georgia,Spalding County,1251
184,534,Georgia,Stephens County,422
185,530,Georgia,Stewart County,145
186,539,Georgia,Sumter County,571
187,571,Georgia,Talbot County,120
188,567,Georgia,Taliaferro County,67
189,564,Georgia,Tattnall County,362
190,561,Georgia,Taylor County,171
191,558,Georgia,Telfair County,453
192,554,Georgia,Terrell County,187
193,525,Georgia,Thomas County,921
194,498,Georgia,Tift County,703
195,494,Georgia,Toombs County,547
196,480,Georgia,Towns County,496
197,486,Georgia,Treutlen County,151
198,482,Georgia,Troup County,1270
199,491,Georgia,Turner County,195
200,524,Georgia,Twiggs County,151
201,520,Georgia,Union County,829
202,516,Georgia,Upson County,550
203,512,Georgia,Walker County,1505
204,509,Georgia,Walton County,1445
205,505,Georgia,Ware County,855
206,513,Georgia,Warren County,155
207,521,Georgia,Washington County,435
208,481,Georgia,Wayne County,473
209,492,Georgia,Webster County,102
210,503,Georgia,Wheeler County,143
211,560,Georgia,White County,685
212,568,Georgia,Whitfield County,1736
213,549,Georgia,Wilcox County,207
214,538,Georgia,Wilkes County,311
215,547,Georgia,Wilkinson County,210
216,411,Georgia,Worth County,405
217,585,Illinois,Adams County,2338
218,586,Illinois,Alexander County,159
219,590,Illinois,Bond County,459
220,594,Illinois,Boone County,945
221,621,Illinois,Brown County,126
222,622,Illinois,Bureau County,1132
223,649,Illinois,Calhoun County,155
224,652,Illinois,Carroll County,495
225,656,Illinois,Cass County,306
226,648,Illinois,Champaign County,3782
227,658,Illinois,Christian County,944
228,662,Illinois,Clark County,430
229,664,Illinois,Clay County,371
230,667,Illinois,Clinton County,976
231,646,Illinois,Coles County,1246
232,625,Illinois,Cook County,104592
233,628,Illinois,Crawford County,482
234,631,Illinois,Cumberland County,316
235,634,Illinois,De Witt County,377
236,633,Illinois,DeKalb County,1654
237,638,Illinois,Douglas County,494
238,640,Illinois,DuPage County,18922
239,644,Illinois,Edgar County,527
240,479,Illinois,Edwards County,197
241,381,Illinois,Effingham County,790
242,124,Illinois,Fayette County,585
243,126,Illinois,Ford County,468
244,130,Illinois,Franklin County,969
245,131,Illinois,Fulton County,1027
246,134,Illinois,Gallatin County,94
247,137,Illinois,Greene County,332
248,140,Illinois,Grundy County,818
249,132,Illinois,Hamilton County,251
250,108,Illinois,Hancock County,590
251,99,Illinois,Hardin County,109
252,101,Illinois,Henderson County,242
253,102,Illinois,Henry County,1401
254,106,Illinois,Iroquois County,859
255,107,Illinois,Jackson County,1315
256,110,Illinois,Jasper County,277
257,114,Illinois,Jefferson County,923
258,116,Illinois,Jersey County,544
259,143,Illinois,Jo Daviess County,681
260,171,Illinois,Johnson County,290
