,Population Density (per sq mi),County,State
3,1898.5,Alameda,California
57,1.6,Alpine,California
35,61.3,Amador,California
23,132.1,Butte,California
38,43.3,Calaveras,California
47,18.5,Colusa,California
6,1345.2,Contra Costa,California
43,22.8,Del Norte,California
30,101.6,El Dorado,California
20,157.8,Fresno,California
46,21.1,Glenn,California
41,33.3,Humboldt,California
40,39.5,Imperial,California
56,1.8,Inyo,California
28,105.1,Kern,California
27,108.8,Kings,California
36,48.3,Lake,California
50,7.1,Lassen,California
2,2099.4,Los Angeles,California
34,70.8,Madera,California
15,310.1,Marin,California
48,12.3,Mariposa,California
44,22.6,Mendocino,California
22,132.2,Merced,California
55,2.2,Modoc,California
52,4.5,Mono,California
26,112.7,Monterey,California
19,176.6,Napa,California
31,101.3,Nevada,California
1,3255.4,Orange,California
17,240.6,Placer,California
49,7.4,Plumas,California
14,310.4,Riverside,California
4,1459.0,Sacramento,California
39,40.9,San Benito,California
29,103.4,San Bernardino,California
8,703.4,San Diego,California
0,3575.3,San Francisco,California
9,491.4,San Joaquin,California
33,75.8,San Luis Obispo,California
7,998.5,San Mateo,California
24,113.9,Santa Barbara,California
5,1412.2,Santa Clara,California
11,440.1,Santa Cruz,California
37,46.4,Shasta,California
54,3.1,Sierra,California
51,7.0,Siskiyou,California
10,465.3,Solano,California
16,278.2,Sonoma,California
13,345.2,Stanislaus,California
21,156.2,Sutter,California
45,21.4,Tehama,California
53,4.2,Trinity,California
32,93.2,Tulare,California
42,23.9,Tuolumne,California
12,378.5,Ventura,California
18,199.5,Yolo,California
25,113.5,Yuba,California
494,36.0,Appling,Georgia
513,24.1,Atkinson,Georgia
486,39.2,Bacon,Georgia
534,9.6,Baker,Georgia
414,171.5,Baldwin,Georgia
446,78.3,Banks,Georgia
396,435.0,Barrow,Georgia
409,214.4,Bartow,Georgia
452,69.1,Ben Hill,Georgia
481,41.7,Berrien,Georgia
391,607.9,Bibb,Georgia
461,58.9,Bleckley,Georgia
482,41.3,Brantley,Georgia
501,31.7,Brooks,Georgia
451,70.8,Bryan,Georgia
431,104.5,Bulloch,Georgia
507,27.7,Burke,Georgia
424,124.8,Butts,Georgia
517,23.1,Calhoun,Georgia
457,65.5,Camden,Georgia
476,44.4,Candler,Georgia
407,222.0,Carroll,Georgia
399,399.8,Catoosa,Georgia
528,16.7,Charlton,Georgia
395,435.4,Chatham,Georgia
471,47.2,Chattahoochee,Georgia
441,81.3,Chattooga,Georgia
393,510.9,Cherokee,Georgia
384,988.8,Clarke,Georgia
531,14.3,Clay,Georgia
382,1830.7,Clayton,Georgia
537,8.2,Clinch,Georgia
380,2057.7,Cobb,Georgia
450,71.3,Coffee,Georgia
439,82.6,Colquitt,Georgia
398,430.3,Columbia,Georgia
448,73.2,Cook,Georgia
404,294.8,Coweta,Georgia
488,38.4,Crawford,Georgia
437,83.3,Crisp,Georgia
436,94.9,Dade,Georgia
430,104.9,Dawson,Georgia
477,44.1,Decatur,Georgia
379,2608.2,Dekalb,Georgia
479,42.5,Dodge,Georgia
493,36.4,Dooly,Georgia
405,280.6,Dougherty,Georgia
