,County1,Dem-Rep %,State1,COVID Cases per 100K
0,Alameda,44.6,California,1286.8800816595653
1,Alpine,15.4,California,177.1479185119575
2,Amador,-15.4,California,651.5395451801168
3,Butte,0.6,California,1295.7031927221628
4,Calaveras,-14.5,California,705.8054678139637
5,Colusa,-10.9,California,2496.867313315079
6,Contra Costa,29.1,California,1479.723907393505
7,Del Norte,-5.4,California,524.9532575866533
8,El Dorado,-11.3,California,611.8967242782987
9,Fresno,4.8,California,2882.191089789721
10,Glenn,-14.2,California,2123.7628993061667
11,Humboldt,20.9,California,382.12425677569746
12,Imperial,28.9,California,6623.072041497669
13,Inyo,-8.9,California,1058.8170075946562
14,Kern,-1.7,California,3592.8602691395927
15,Kings,-7.6,California,5133.385641428011
16,Lake,10.9,California,902.3700804522723
17,Lassen,-29.2,California,2426.9780525300102
18,Los Angeles,33.0,California,2715.908895083995
19,Madera,-6.6,California,2950.542500651509
20,Marin,40.9,California,2599.81609266457
21,Mariposa,-14.8,California,441.7834098703715
22,Mendocino,27.2,California,1119.3212601874372
23,Merced,15.4,California,3253.0250648228166
24,Modoc,-27.9,California,305.3953172718018
25,Mono,3.9,California,1170.0360011077262
26,Monterey,28.6,California,2354.277394191139
27,Napa,23.6,California,1258.8570101057032
28,Nevada,3.5,California,544.3336173625382
29,Orange,-0.7,California,1704.1325166294464
30,Placer,-13.1,California,910.8048874171852
31,Plumas,-14.2,California,265.85845695751584
32,Riverside,4.7,California,2425.94147204707
33,Sacramento,16.8,California,1472.560948108898
34,San Benito,19.2,California,2162.144949687938
35,San Bernardino,10.0,California,2553.6160287328244
36,San Diego,8.6,California,1431.5840555008044
37,San Francisco,50.4,California,1288.640790245352
38,San Joaquin,12.6,California,2687.798170434089
39,San Luis Obispo,-0.1,California,1301.6096160163331
40,San Mateo,35.2,California,1320.9439935922605
41,Santa Barbara,16.6,California,2071.4492081729186
42,Santa Clara,28.3,California,1120.677313403726
43,Santa Cruz,40.5,California,908.082704702924
44,Shasta,-23.0,California,529.2092403376278
45,Sierra,-12.6,California,199.6672212978369
46,Siskiyou,-8.4,California,383.56416086726836
47,Solano,23.9,California,1456.5178054833875
48,Sonoma,33.7,California,1551.1716727084408
49,Stanislaus,2.5,California,3019.6491482947736
50,Sutter,-9.4,California,1802.600777552052
51,Tehama,-18.1,California,929.5679429660132
52,Trinity,-0.7,California,130.24013024013024
53,Tulare,-7.4,California,3517.6267441735754
54,Tuolumne,-12.2,California,422.18877344983287
55,Ventura,10.4,California,1529.8945870360258
56,Yolo,27.7,California,1291.156462585034
57,Yuba,-9.1,California,1510.143895866172
0,Appling,-58.0,Georgia,5770.695094093333
1,Atkinson,-45.2,Georgia,5486.83404776485
2,Bacon,-68.6,Georgia,5410.247223217485
3,Baker,-8.7,Georgia,2764.9769585253453
4,Baldwin,1.7,Georgia,4778.347070617064
5,Banks,-78.4,Georgia,2615.160653010294
6,Barrow,-50.4,Georgia,2731.859682844786
7,Bartow,-55.2,Georgia,2791.030091518313
8,Ben Hill,-27.6,Georgia,4832.335329341317
9,Berrien,-66.4,Georgia,2376.656183945971
10,Bibb,20.5,Georgia,4006.2941126541705
11,Bleckley,-53.0,Georgia,3472.384059659753
12,Brantley,-78.6,Georgia,1836.8308127060543
13,Brooks,-18.6,Georgia,3402.9889370511737
14,Bryan,-43.2,Georgia,2965.150023973553
15,Bulloch,-23.1,Georgia,3670.4853783539343
16,Burke,2.6,Georgia,3766.2511727650453
17,Butts,-43.8,Georgia,2743.0221366698747
18,Calhoun,17.2,Georgia,4039.4247859104858
19,Camden,-33.8,Georgia,2431.127208868401
20,Candler,-43.5,Georgia,4396.92677959826
21,Carroll,-40.1,Georgia,2395.159677311821
22,Catoosa,-60.7,Georgia,1830.423202130808
23,Charlton,-48.6,Georgia,4786.439665471923
24,Chatham,14.9,Georgia,2989.3238434163704
25,Chattahoochee,-11.3,Georgia,15430.457504355
26,Chattooga,-58.8,Georgia,3275.6464560893946
27,Cherokee,-50.0,Georgia,2410.993418942471
28,Clarke,38.1,Georgia,4050.4632551760683
29,Clay,10.3,Georgia,4269.583627381792
30,Clayton,70.9,Georgia,2456.0659148144096
31,Clinch,-42.6,Georgia,5893.0190389845875
32,Cobb,2.2,Georgia,2632.4063561891808
33,Coffee,-39.5,Georgia,4843.666951678876
34,Colquitt,-47.3,Georgia,4199.561403508772
35,Columbia,-37.7,Georgia,2458.618885358041
36,Cook,-40.1,Georgia,3213.6653155761437
37,Coweta,-42.3,Georgia,1797.1974762472307
38,Crawford,-42.9,Georgia,1370.5256368913251
39,Crisp,-22.8,Georgia,2614.8757375290547
40,Dade,-65.5,Georgia,1799.4539587987094
41,Dawson,-72.2,Georgia,3248.046575762219
43,DeKalb,64.0,Georgia,2519.17233967736
42,Decatur,-18.5,Georgia,4567.489774276624
44,Dodge,-45.5,Georgia,2130.5508371754427
45,Dooly,-2.1,Georgia,2584.0179238237492
46,Dougherty,38.4,Georgia,3604.074764655055
47,Douglas,10.8,Georgia,2508.4903275182282
48,Early,-8.0,Georgia,5034.347399411187
49,Echols,-72.4,Georgia,6040.938592111834
50,Effingham,-55.6,Georgia,2342.291899962673
51,Elbert,-34.5,Georgia,3693.8626654162763
52,Emanuel,-37.0,Georgia,4866.201536695222
53,Evans,-35.4,Georgia,4054.815092922846
54,Fannin,-65.5,Georgia,2707.346876431953
55,Fayette,-19.5,Georgia,1679.7615822270388
56,Floyd,-43.5,Georgia,3363.520071473533
