,index,STNAME1,CTYNAME1,Nonwhite Population
0,227,California,Alameda County,14167
1,455,California,Alpine County,5
2,683,California,Amador County,53
3,911,California,Butte County,301
4,1139,California,Calaveras County,72
5,1367,California,Colusa County,25
6,1595,California,Contra Costa County,5481
7,1823,California,Del Norte County,63
8,2051,California,El Dorado County,206
9,2279,California,Fresno County,2528
10,2507,California,Glenn County,27
11,2735,California,Humboldt County,227
12,2963,California,Imperial County,304
13,3191,California,Inyo County,60
14,3419,California,Kern County,1397
15,3647,California,Kings County,242
16,3875,California,Lake County,120
17,4103,California,Lassen County,59
18,4331,California,Los Angeles County,61136
19,4559,California,Madera County,231
20,4787,California,Marin County,629
21,5015,California,Mariposa County,40
22,5243,California,Mendocino County,153
23,5471,California,Merced County,597
24,5699,California,Modoc County,18
25,5927,California,Mono County,17
26,6155,California,Monterey County,1495
27,6383,California,Napa County,390
28,6611,California,Nevada County,97
29,6839,California,Orange County,14690
30,7067,California,Placer County,798
31,7295,California,Plumas County,31
32,7523,California,Riverside County,5212
33,7751,California,Sacramento County,7546
34,7979,California,San Benito County,82
35,8207,California,San Bernardino County,5168
36,8435,California,San Diego County,10911
37,8663,California,San Francisco County,13030
38,8891,California,San Joaquin County,2784
39,9119,California,San Luis Obispo County,357
40,9347,California,San Mateo County,5794
41,9575,California,Santa Barbara County,841
42,9803,California,Santa Clara County,13667
43,10031,California,Santa Cruz County,438
44,10259,California,Shasta County,220
45,10487,California,Sierra County,5
46,10715,California,Siskiyou County,88
47,10943,California,Solano County,2908
48,11171,California,Sonoma County,778
49,11399,California,Stanislaus County,911
50,11627,California,Sutter County,503
51,11855,California,Tehama County,66
52,12083,California,Trinity County,32
53,12311,California,Tulare County,626
54,12539,California,Tuolumne County,67
55,12767,California,Ventura County,2099
56,12995,California,Yolo County,578
57,13223,California,Yuba County,113
839,227,Georgia,Appling County,47
840,455,Georgia,Atkinson County,29
841,683,Georgia,Bacon County,13
842,911,Georgia,Baker County,39
843,1139,Georgia,Baldwin County,253
844,1367,Georgia,Banks County,17
845,1595,Georgia,Barrow County,106
846,1823,Georgia,Bartow County,112
847,2051,Georgia,Ben Hill County,80
848,2279,Georgia,Berrien County,35
849,2507,Georgia,Bibb County,1018
850,2735,Georgia,Bleckley County,42
851,2963,Georgia,Brantley County,17
852,3191,Georgia,Brooks County,68
853,3419,Georgia,Bryan County,50
854,3647,Georgia,Bulloch County,180
855,3875,Georgia,Burke County,121
856,4103,Georgia,Butts County,95
857,4331,Georgia,Calhoun County,99
858,4559,Georgia,Camden County,121
859,4787,Georgia,Candler County,38
860,5015,Georgia,Carroll County,195
861,5243,Georgia,Catoosa County,28
862,5471,Georgia,Charlton County,54
863,5699,Georgia,Chatham County,1596
864,5927,Georgia,Chattahoochee County,33
865,6155,Georgia,Chattooga County,52
866,6383,Georgia,Cherokee County,113
867,6611,Georgia,Clarke County,340
868,6839,Georgia,Clay County,47
869,7067,Georgia,Clayton County,1029
870,7295,Georgia,Clinch County,12
871,7523,Georgia,Cobb County,1333
872,7751,Georgia,Coffee County,122
873,7979,Georgia,Colquitt County,138
874,8207,Georgia,Columbia County,314
875,8435,Georgia,Cook County,73
876,8663,Georgia,Coweta County,262
877,8891,Georgia,Crawford County,33
878,9119,Georgia,Crisp County,126
879,9347,Georgia,Dade County,18
880,9575,Georgia,Dawson County,8
882,10031,Georgia,DeKalb County,4399
881,9803,Georgia,Decatur County,159
883,10259,Georgia,Dodge County,93
884,10487,Georgia,Dooly County,127
885,10715,Georgia,Dougherty County,799
886,10943,Georgia,Douglas County,249
887,11171,Georgia,Early County,108
888,11399,Georgia,Echols County,13
